Temperature,Simulations,Return,Discounted Return,Map
1,9,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFF', 'FFHG']"
1,85,0,1.0,0.8894287717672626,"['SFFH', 'FHFF', 'HHFH', 'FHFG']"
1,45,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'FFHH', 'FFFG']"
1,25,0,1.0,0.9616943356035061,"['SFHH', 'FHHH', 'FHFH', 'FFFG']"
1,21,0,1.0,0.9388545698794984,"['SFFF', 'HHFF', 'FFHF', 'HFFG']"
1,5,0,0.0,0.0,"['SFFH', 'HFFF', 'FHFH', 'FHFG']"
1,86,0,1.0,0.8657003616774767,"['SFHF', 'FFFH', 'FHFH', 'FHFG']"
1,44,0,1.0,0.93603800616986,"['SFFH', 'FFFF', 'FFHF', 'FHFG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFH', 'FHFG']"
1,92,0,1.0,0.9388545698794984,"['SFFH', 'HHFH', 'FFFF', 'FHHG']"
1,47,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'HFFG']"
1,3,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFH', 'FHFG']"
1,48,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'HFHF', 'FHFG']"
1,71,0,1.0,0.985089730404757,"['SHHF', 'FFHH', 'FFFH', 'FFFG']"
1,98,0,1.0,0.9616943356035061,"['SFFF', 'HFHH', 'FFFF', 'HHFG']"
1,89,0,1.0,0.9559328248389055,"['SHFF', 'FFFH', 'FFHF', 'HFFG']"
1,36,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HFFF', 'FHHG']"
1,65,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'FFFG']"
1,47,0,1.0,0.9193151828650342,"['SFFH', 'FHFF', 'FFFH', 'HFFG']"
1,36,0,1.0,0.776950406379376,"['SFHF', 'HFHH', 'FFFF', 'FFHG']"
1,40,0,1.0,0.8947894553945313,"['SFFF', 'FHFH', 'HHFH', 'HHFG']"
1,9,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'FHFG']"
1,25,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'HHFG']"
1,78,0,1.0,0.9473552137914398,"['SHFF', 'FHFH', 'FFFF', 'FFHG']"
1,70,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'HHFG']"
1,48,0,1.0,0.9791880578299021,"['SFFH', 'FHHF', 'FHHF', 'FFFG']"
1,11,0,0.0,0.0,"['SFFH', 'HFHH', 'FFHH', 'HFFG']"
1,91,0,1.0,0.7584982177744161,"['SFHH', 'FFFH', 'HHFF', 'HFHG']"
1,18,0,1.0,0.9502058312852957,"['SFFF', 'FFHF', 'FFHF', 'FHFG']"
1,77,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FFFF', 'FHHG']"
1,14,0,1.0,0.8921050870283477,"['SFHF', 'HFHF', 'HFHH', 'FFFG']"
1,90,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'FHFF', 'HFHG']"
1,74,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'FHHG']"
1,48,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'HHFF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HFFF', 'HHFF', 'HHHG']"
1,43,0,1.0,0.8426049842298329,"['SHHH', 'FHHF', 'FHHF', 'FFFG']"
1,56,0,1.0,0.8709180316048211,"['SHHF', 'FHHH', 'FHHH', 'FFFG']"
1,91,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFFF', 'HFHG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'FFFG']"
1,72,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'FHFF', 'HHFG']"
1,79,0,1.0,0.9674905716180701,"['SHFF', 'FFFF', 'FFFH', 'FFFG']"
1,57,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HFFF', 'HFFG']"
1,70,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFFF', 'FFHG']"
1,61,0,1.0,0.9559328248389055,"['SFHF', 'HFHH', 'HFFH', 'FFFG']"
1,30,0,1.0,0.9276389118674717,"['SFFF', 'HFFH', 'FHFH', 'HFFG']"
1,80,0,1.0,0.93603800616986,"['SFHH', 'FFFF', 'FFHF', 'FFFG']"
1,89,0,1.0,0.9248559951318693,"['SFFH', 'HHFH', 'FHFH', 'FFFG']"
1,14,0,1.0,0.8814479033836181,"['SFHF', 'HFFH', 'HHFF', 'HFFG']"
1,25,0,1.0,0.90289112180858,"['SFFH', 'HFFF', 'HHFH', 'HHFG']"
1,87,0,1.0,0.9445131481500655,"['SFFH', 'FFFF', 'HHFF', 'FFHG']"
1,53,0,1.0,0.7516921927868743,"['SFHF', 'HFFF', 'FHHF', 'FFFG']"
1,28,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FFHG']"
1,100,0,1.0,0.9762504936564125,"['SFHF', 'FFFH', 'FFFF', 'HFHG']"
1,22,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'FFFF', 'HHHG']"
1,35,0,1.0,0.7816331707050701,"['SFHF', 'HFFF', 'HHHF', 'FHHG']"
