Temperature,Simulations,Return,Discounted Return,Map
1,63,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'FHFF', 'FHFG']"
1,10,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'FFHG']"
1,23,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'FHHG']"
1,34,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HFHG']"
1,36,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'FHHF', 'FHFG']"
1,3,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHH', 'HFFG']"
1,36,0,1.0,0.8527925358961662,"['SHHH', 'FFHH', 'HFFH', 'FFFG']"
1,33,0,1.0,0.9248559951318693,"['SFFH', 'HFFF', 'FFHF', 'FFFG']"
1,50,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'FFFH', 'FFFG']"
1,86,0,1.0,0.9588092525966956,"['SFFH', 'HFHH', 'FFFF', 'HHHG']"
1,2,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FHFG']"
1,92,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'HFFF', 'FFFG']"
1,9,0,1.0,0.79346393184295,"['SHHF', 'FHHH', 'FFHF', 'FFFG']"
1,50,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'HFFG']"
1,15,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FHFF', 'FFHG']"
1,73,0,1.0,0.9304302024748964,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,43,0,1.0,0.9559328248389055,"['SFFH', 'HFFH', 'FHFF', 'FHFG']"
