Temperature,Simulations,Return,Discounted Return,Map
1,13,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFH', 'HHFG']"
1,80,0,1.0,0.9616943356035061,"['SFFH', 'HFFF', 'HHHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFF', 'HHFH', 'FFFG']"
1,33,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'FFFF', 'HFFG']"
1,46,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FFHG']"
1,3,0,1.0,0.9559328248389055,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,22,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'FFFG']"
1,75,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HHFF', 'FFHG']"
1,25,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFH', 'HHFG']"
1,45,0,1.0,0.9502058312852957,"['SFFH', 'HFFF', 'HFFH', 'FHFG']"
1,87,0,1.0,0.8709180316048211,"['SFFH', 'HFHF', 'FFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFF', 'FFHG']"
1,100,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'FHFH', 'FHFG']"
