Temperature,Simulations,Return,Discounted Return,Map
1,22,0,1.0,0.79346393184295,"['SFFH', 'HFFH', 'FFHH', 'FFFG']"
1,56,0,1.0,0.8275513922024125,"['SFFH', 'HFHH', 'HFFH', 'HHFG']"
1,86,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFFF', 'HHFG']"
1,36,0,1.0,0.8325391341551359,"['SHHH', 'FFHF', 'HFFF', 'FHFG']"
1,62,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HFFF', 'FHFG']"
1,23,0,1.0,0.8735386475474635,"['SHHH', 'FFFH', 'FFHF', 'FFFG']"
1,72,0,1.0,0.9248559951318693,"['SFFF', 'HFHF', 'HHHF', 'FFHG']"
1,43,0,1.0,0.9220814271464737,"['SFFH', 'HFFF', 'HFHF', 'HHFG']"
1,83,0,1.0,0.9165572373164391,"['SFHH', 'FFFH', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HHFF', 'HFFH', 'HHFG']"
1,79,0,1.0,0.985089730404757,"['SFFH', 'FFHF', 'FHFF', 'FFFG']"
1,64,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'HFFH', 'FFFG']"
1,90,0,1.0,0.9530650263643888,"['SHHF', 'FHFF', 'FFFF', 'FHFG']"
1,90,0,1.0,0.9791880578299021,"['SHFF', 'FFHF', 'FFFF', 'HFFG']"
1,92,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'HFFH', 'HHFG']"
1,31,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFF', 'FHHG']"
1,99,0,1.0,0.8788035596734672,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,80,0,1.0,0.9332298921513504,"['SFFH', 'HFHH', 'FFFF', 'HHHG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFFG']"
1,1,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FFHG']"
1,8,0,1.0,0.7722956964947572,"['SFFH', 'HFFF', 'FHFF', 'HHHG']"
1,29,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HFHF', 'FFFG']"
