Temperature,Simulations,Return,Discounted Return,Map
1,59,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'FHFF', 'HHFG']"
1,57,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,24,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'HHFG']"
1,91,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FHFF', 'FHHG']"
1,29,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'FFFG']"
1,34,0,0.0,0.0,"['SFFF', 'FFHH', 'HFHH', 'FFFG']"
1,6,0,1.0,0.7653658663581259,"['SFHH', 'HFFH', 'HFFF', 'HFFG']"
1,31,0,1.0,0.8176653739626438,"['SFHF', 'HFHH', 'FFFF', 'HHFG']"
1,29,0,1.0,0.9001824484431542,"['SFFH', 'FHFF', 'FFHH', 'FFFG']"
1,26,0,1.0,0.9248559951318693,"['SFHH', 'FHHH', 'FFHH', 'HFFG']"
1,96,0,1.0,0.9791880578299021,"['SFFH', 'HFHH', 'FFFF', 'HFFG']"
1,43,0,1.0,0.9388545698794984,"['SFFH', 'HFHH', 'FFFF', 'HHFG']"
1,55,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'FHHF', 'FFFG']"
1,51,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFFF', 'HHHG']"
1,47,0,1.0,0.9110661429076764,"['SFHF', 'HFFF', 'FFHF', 'HHFG']"
1,22,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFFF', 'FHFG']"
1,35,0,1.0,0.9138075656044898,"['SHFF', 'FFHH', 'FHHF', 'FFFG']"
1,21,0,1.0,0.8527925358961662,"['SFHF', 'FFFH', 'HHFF', 'FFFG']"
1,51,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HHFF', 'FFHG']"
1,17,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'HFFH', 'FFFG']"
1,16,0,0.0,0.0,"['SHFH', 'FFFH', 'FFHF', 'FFFG']"
1,92,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FHFF', 'HFFG']"
1,37,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFF', 'HHFG']"
1,63,0,1.0,0.8947894553945313,"['SFHF', 'FHFF', 'FHHF', 'FFFG']"
1,76,0,1.0,0.9001824484431542,"['SFHF', 'FFFH', 'FHFF', 'HHFG']"
1,49,0,1.0,0.9165572373164391,"['SFHH', 'HFFH', 'FFFF', 'FFHG']"
1,33,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FFFF', 'HHFG']"
1,6,0,1.0,0.884100203995605,"['SFFH', 'HHFF', 'HFFF', 'FHHG']"
1,4,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'FFHG']"
1,73,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'HFFG']"
1,80,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HFHH', 'HFFG']"
1,18,0,1.0,0.9056079456455165,"['SFFH', 'FHFH', 'HFFF', 'FFFG']"
1,15,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'FHFH', 'FFFG']"
1,23,0,1.0,0.9248559951318693,"['SFFF', 'FHFH', 'HHFH', 'HFFG']"
1,98,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FFFF', 'HFFG']"
1,14,0,0.0,0.0,"['SFHF', 'FFFH', 'FHHH', 'FFFG']"
1,68,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FFFH', 'FFFG']"
1,95,0,1.0,0.9193151828650342,"['SFHF', 'HFFF', 'HHFH', 'FFFG']"
1,15,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'FFHG']"
1,36,0,0.0,0.0,"['SFFF', 'HFHH', 'HFHF', 'HFFG']"
1,21,0,1.0,0.8400771692771434,"['SFHF', 'FFHF', 'FFFH', 'HHFG']"
1,70,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'FHFF', 'HHFG']"
1,1,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'FFFG']"
1,86,0,1.0,0.985089730404757,"['SFHF', 'FFHF', 'FFFH', 'HHFG']"
1,26,0,1.0,0.9083329444789534,"['SFFH', 'HFFH', 'FHFF', 'FFFG']"
1,62,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'FFHH', 'FFFG']"
1,37,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HHFG']"
1,45,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HHHG']"
1,57,0,1.0,0.8867604854519608,"['SFFH', 'HFHF', 'FFFF', 'HFFG']"
1,23,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HHFG']"
1,35,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FHHF', 'HHFG']"
1,22,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HHFF', 'FHFG']"
1,84,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'FHHH', 'FFFG']"
