Temperature,Simulations,Return,Discounted Return,Map
1,62,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHHF', 'HHFG']"
1,8,0,1.0,0.8127667407072335,"['SFFF', 'HHHF', 'HHFF', 'FFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FHFH', 'FHHF', 'FFFG']"
1,12,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'FHHG']"
1,41,0,1.0,0.9559328248389055,"['SHHH', 'FFFF', 'FFFF', 'HHFG']"
1,24,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'FHHG']"
1,72,0,1.0,0.9704017769489168,"['SFHF', 'HFFH', 'HFFH', 'HHFG']"
1,49,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'FFFH', 'HFFG']"
1,79,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'HFHF', 'FFFG']"
1,94,0,1.0,0.9704017769489168,"['SFHF', 'FFHH', 'FFFH', 'FHFG']"
1,94,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HFHF', 'FHFG']"
1,21,0,0.0,0.0,"['SFHH', 'FFFH', 'FFHF', 'HFFG']"
1,50,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'FHFF', 'FHHG']"
1,77,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'FHFG']"
1,55,0,1.0,0.9445131481500655,"['SHFH', 'FFFF', 'FFFH', 'HHFG']"
1,10,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFF', 'FHFG']"
1,28,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFHF', 'HHFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFF', 'HHHG']"
1,98,0,1.0,0.9791880578299021,"['SFHH', 'HFHH', 'FFFH', 'FFFG']"
1,61,0,1.0,0.9733217421754432,"['SFHF', 'HFHH', 'HFFH', 'HFFG']"
1,95,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'FHFH', 'FHFG']"
1,42,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'HFFF', 'FFFG']"
1,63,0,1.0,0.9821344612135428,"['SHHH', 'FFHF', 'FFFF', 'HFFG']"
1,33,0,1.0,0.8867604854519608,"['SFFF', 'FHFF', 'HFHF', 'HFFG']"
1,64,0,1.0,0.9473552137914398,"['SFHF', 'HFFF', 'FHHF', 'FFHG']"
1,33,0,1.0,0.7958514863018556,"['SHFH', 'FFFH', 'FHFH', 'FFFG']"
1,41,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,91,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'HFFF', 'HHHG']"
1,82,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'FFFF', 'HFFG']"
1,38,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'HFFF', 'HHFG']"
1,88,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HHFF', 'HHFG']"
1,20,0,1.0,0.9588092525966956,"['SFFF', 'HHFF', 'FHFF', 'HFHG']"
1,18,0,1.0,0.767668872977057,"['SFFH', 'FFFH', 'HHFF', 'HHHG']"
1,54,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FHHG']"
1,72,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'HFHH', 'FFFG']"
1,56,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,86,0,1.0,0.9530650263643888,"['SFFF', 'FFFF', 'HHFH', 'FFFG']"
1,78,0,1.0,0.9445131481500655,"['SFHF', 'FFFF', 'FHFF', 'HFHG']"
1,24,0,1.0,0.8788035596734672,"['SHHH', 'FHFF', 'FHHF', 'FFFG']"
1,11,0,0.0,0.0,"['SFHF', 'HFFF', 'FFHH', 'HFFG']"
1,43,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'FHHF', 'HFHG']"
