Temperature,Simulations,Return,Discounted Return,Map
1,39,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'HHFG']"
1,80,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FFFF', 'FFFG']"
1,69,0,1.0,0.8152123778407558,"['SFFH', 'FHHF', 'FFFF', 'FFHG']"
1,48,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FHFF', 'FHFG']"
1,3,0,1.0,0.9110661429076764,"['SFFF', 'HHFF', 'HFFF', 'HHFG']"
1,92,0,1.0,0.9110661429076764,"['SHFH', 'FHHH', 'FFFF', 'HFHG']"
1,44,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'HFHG']"
1,72,0,1.0,0.9056079456455165,"['SFHH', 'HFHF', 'FFFF', 'HHHG']"
1,62,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'FFHF', 'FFHG']"
1,37,0,1.0,0.8502341582884777,"['SFFH', 'FHFF', 'HFHF', 'HFHG']"
1,49,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'FHFG']"
1,77,0,1.0,0.8867604854519608,"['SFHH', 'HFHH', 'FFFH', 'HHFG']"
1,86,0,1.0,0.9733217421754432,"['SFFH', 'FHFH', 'HFFF', 'FFFG']"
1,69,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HFFH', 'FFFG']"
1,12,0,1.0,0.8814479033836181,"['SFFF', 'FFFH', 'HFFH', 'FFFG']"
1,89,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'HHFG']"
1,72,0,1.0,0.9674905716180701,"['SFHH', 'FHHH', 'FFHH', 'HFFG']"
1,66,0,1.0,0.9473552137914398,"['SFFH', 'FFHF', 'FFFF', 'FFHG']"
1,95,0,1.0,0.9674905716180701,"['SHHH', 'FFHH', 'FFHF', 'FFFG']"
1,30,0,1.0,0.9616943356035061,"['SFHH', 'FFHH', 'FFFF', 'HFHG']"
1,51,0,1.0,0.9473552137914398,"['SHHH', 'FHHH', 'FFFH', 'FFFG']"
1,64,0,1.0,0.985089730404757,"['SHFF', 'FHHF', 'FFHH', 'FFFG']"
1,6,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'HHHG']"
1,59,0,1.0,0.93603800616986,"['SFFH', 'FFHH', 'FFFF', 'FFHG']"
1,38,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFHH', 'FFFG']"
1,87,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'HHHF', 'FHHG']"
1,51,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'HFFG']"
1,47,0,1.0,0.9332298921513504,"['SFHH', 'FFHH', 'HFHH', 'FFFG']"
1,23,0,1.0,0.9001824484431542,"['SHFH', 'FFHF', 'FHFF', 'FFFG']"
