Temperature,Simulations,Return,Discounted Return,Map
1,77,0,1.0,0.9083329444789534,"['SFFH', 'HFHH', 'FFFF', 'HFHG']"
1,47,0,1.0,0.8761671489944468,"['SFFH', 'HFHF', 'HFFF', 'FFHG']"
1,57,0,1.0,0.9248559951318693,"['SFFF', 'HFHH', 'FFFF', 'FFHG']"
1,64,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FFHF', 'HHHG']"
1,99,0,1.0,0.9588092525966956,"['SFFH', 'FHFH', 'HFFF', 'FHFG']"
1,68,0,1.0,0.8709180316048211,"['SHHH', 'FHHH', 'FFFF', 'FFHG']"
1,77,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'HHFF', 'FFFG']"
1,79,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HHFG']"
1,54,0,1.0,0.9248559951318693,"['SFFH', 'HFHH', 'HFFF', 'HHFG']"
1,69,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHFF', 'FHFG']"
1,96,0,1.0,0.9821344612135428,"['SFHH', 'FHHH', 'FFFF', 'FFFG']"
1,79,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'FHFF', 'FHFG']"
1,74,0,1.0,0.985089730404757,"['SHHF', 'FHFH', 'FFFF', 'FHFG']"
1,18,0,1.0,0.9704017769489168,"['SHFH', 'FFFH', 'HHFF', 'FHFG']"
1,36,0,1.0,0.9530650263643888,"['SFHF', 'HFFH', 'FFHH', 'FFFG']"
1,43,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'FHFG']"
1,51,0,1.0,0.985089730404757,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,35,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'HHFF', 'HFFG']"
1,18,0,1.0,0.8325391341551359,"['SHHF', 'FFFF', 'FHFF', 'HFFG']"
1,56,0,1.0,0.9276389118674717,"['SFFF', 'HHFF', 'HFFH', 'FFFG']"
1,88,0,1.0,0.985089730404757,"['SFHF', 'FFHF', 'FFFF', 'HFFG']"
1,61,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFF', 'HFHG']"
1,85,0,1.0,0.9056079456455165,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,83,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FFHF', 'HFHG']"
1,91,0,1.0,0.9674905716180701,"['SHHF', 'FFHH', 'FFFH', 'HFFG']"
1,15,0,0.0,0.0,"['SFFH', 'HHFH', 'HFFH', 'HHFG']"
1,52,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFFF', 'HHHG']"
1,18,0,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HFFF', 'HHFG']"
1,64,0,0.0,0.0,"['SHHF', 'FHHH', 'FFHH', 'HFFG']"
1,95,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'HHHF', 'FFHG']"
1,25,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'FHFF', 'HFFG']"
1,91,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFFF', 'HHHG']"
1,33,0,1.0,0.8006481694852418,"['SFFF', 'FFHH', 'FHHH', 'FFFG']"
1,32,0,1.0,0.7516921927868743,"['SFFH', 'FFFH', 'HFHF', 'HFFG']"
1,64,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'FHFG']"
1,53,0,1.0,0.8867604854519608,"['SFHF', 'HFFF', 'HFFF', 'HHHG']"
1,73,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFH', 'HHFG']"
1,18,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFH', 'HFFG']"
1,58,0,1.0,0.9588092525966956,"['SFHF', 'HFFH', 'HHFF', 'FHFG']"
1,37,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'FHHG']"
1,46,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FFFG']"
1,66,0,1.0,0.9502058312852957,"['SHFH', 'FFFF', 'FHFF', 'HHHG']"
1,60,0,1.0,0.835044266956004,"['SFFH', 'FHHF', 'FFHH', 'HFFG']"
1,59,0,0.0,0.0,"['SHFF', 'FHHF', 'FFHH', 'HFFG']"
1,51,0,0.0,0.0,"['SHFH', 'FHHH', 'FFHF', 'HFFG']"
1,92,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'HHFH', 'HHFF', 'HHHG']"
1,16,0,1.0,0.9165572373164391,"['SFFF', 'FHFF', 'HHHF', 'HFFG']"
1,28,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFHG']"
1,89,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FHFF', 'FFFG']"
1,38,0,1.0,0.9332298921513504,"['SFFF', 'FFFH', 'HHFF', 'FHHG']"
1,76,0,1.0,0.9791880578299021,"['SHFF', 'FHFF', 'FFFF', 'FHHG']"
1,36,0,1.0,0.9248559951318693,"['SFFH', 'HFFH', 'HFHF', 'FFFG']"
1,52,0,1.0,0.9165572373164391,"['SFHF', 'FFFF', 'HFHF', 'HHHG']"
1,69,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFH', 'FHFG']"
1,77,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'HHFG']"
1,95,0,1.0,0.8400771692771434,"['SFFF', 'FFHH', 'HFHF', 'HFFG']"
1,33,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'HFFG']"
1,53,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'FHFF', 'FFFG']"
1,66,0,1.0,0.8735386475474635,"['SFHF', 'FHFF', 'FFFF', 'HFHG']"
1,7,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'FHFG']"
1,69,0,1.0,0.9704017769489168,"['SFHH', 'HFFH', 'FFFF', 'FHHG']"
1,75,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'HHFF', 'HFFG']"
1,83,0,1.0,0.8451404054461714,"['SHHF', 'FFHF', 'HFFF', 'FFHG']"
1,57,0,1.0,0.9248559951318693,"['SFFH', 'FFFH', 'FHFH', 'FFFG']"
1,22,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'HFHG']"
1,80,0,1.0,0.9791880578299021,"['SHHH', 'FHHH', 'FFHH', 'FFFG']"
1,12,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFF', 'FHFG']"
1,90,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'HHFF', 'HFFG']"
1,11,0,0.0,0.0,"['SHFH', 'FFHH', 'FFHF', 'FFFG']"
1,51,0,1.0,0.8127667407072335,"['SFFF', 'FHFH', 'FFFF', 'HHFG']"
1,64,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'HFFH', 'FFFG']"
1,66,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'HFFH', 'HFFG']"
1,42,0,1.0,0.9762504936564125,"['SHFH', 'FFFH', 'FFHH', 'FFFG']"
1,45,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHF', 'HFFG']"
1,89,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'FFHF', 'FHHG']"
1,60,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FFFF', 'FHHG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFF', 'FFHG']"
1,98,0,1.0,0.9530650263643888,"['SFFH', 'FFHF', 'HFFH', 'HFFG']"
1,78,0,1.0,0.9530650263643888,"['SFHH', 'HFFH', 'HFHF', 'HFFG']"
1,9,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHH', 'HFFG']"
1,82,0,1.0,0.9416796087056153,"['SFFF', 'HHFF', 'FFFH', 'HFFG']"
1,85,0,1.0,0.884100203995605,"['SHFH', 'FHHH', 'FFFF', 'FHHG']"
1,95,0,1.0,0.8426049842298329,"['SFHH', 'FHHH', 'FFFF', 'FFHG']"
1,69,0,1.0,0.9530650263643888,"['SFFH', 'HHFH', 'HHFF', 'HFHG']"
1,73,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FHFH', 'HHFG']"
1,47,0,1.0,0.835044266956004,"['SHFF', 'FFFF', 'FHHF', 'FHFG']"
1,74,0,1.0,0.9193151828650342,"['SFFH', 'HHFF', 'FFHF', 'HFFG']"
1,79,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'FFFG']"
1,18,0,1.0,0.8894287717672626,"['SFFH', 'HFFF', 'HHHF', 'FFHG']"
1,40,0,0.0,0.0,"['SFFF', 'FHHF', 'FFFH', 'FHFG']"
1,4,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFH', 'HFFG']"
1,75,0,1.0,0.9530650263643888,"['SFFF', 'HFHF', 'FHHF', 'HHFG']"
1,67,0,1.0,0.9502058312852957,"['SHFH', 'FHFH', 'FFFF', 'FHFG']"
1,61,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FFHG']"
1,3,0,1.0,0.8201257512162927,"['SFFF', 'HHFF', 'HFHF', 'HFHG']"
1,34,0,1.0,0.9762504936564125,"['SFHF', 'FFHH', 'FFFH', 'FFFG']"
1,38,0,1.0,0.9445131481500655,"['SFFF', 'HFFH', 'FFFF', 'HHHG']"
1,51,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FHHG']"
1,66,0,1.0,0.9704017769489168,"['SFFH', 'HFHH', 'HFHH', 'HFFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'FFHG']"
1,84,0,1.0,0.985089730404757,"['SHFF', 'FFHH', 'HFFH', 'HFFG']"
1,32,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'HFFF', 'FHFG']"
1,89,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FHHG']"
1,96,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FFFH', 'HFFG']"
