Temperature,Simulations,Return,Discounted Return,Map
1,5,0,0.0,0.0,"['SFHF', 'FHFF', 'FHFH', 'FFFG']"
1,31,0,1.0,0.9304302024748964,"['SFHF', 'HFFF', 'HFHF', 'HHFG']"
1,79,0,1.0,0.9791880578299021,"['SHHH', 'FHHH', 'FFHH', 'FFFG']"
1,22,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HFHG']"
1,74,0,1.0,0.9530650263643888,"['SFFF', 'FFHH', 'HFFH', 'FFFG']"
1,95,0,1.0,0.9304302024748964,"['SFHF', 'FFFH', 'HFFF', 'HFHG']"
1,51,0,1.0,0.9645880999032158,"['SFFH', 'FHHF', 'FHHH', 'FFFG']"
1,77,0,1.0,0.93603800616986,"['SHFH', 'FFFF', 'FHFF', 'HHFG']"
1,23,0,1.0,0.9248559951318693,"['SFFF', 'FHFF', 'FFFF', 'FHHG']"
1,44,0,1.0,0.9165572373164391,"['SHHH', 'FFFF', 'HFHF', 'HFFG']"
1,64,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HFFF', 'FFFG']"
1,84,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'HHHF', 'FHFG']"
1,44,0,1.0,0.9559328248389055,"['SFHH', 'FFFF', 'HFFH', 'HFFG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHHF', 'HFFG']"
1,75,0,1.0,0.8225935318117279,"['SFFH', 'FHFH', 'HFFH', 'FHFG']"
