Temperature,Simulations,Return,Discounted Return,Map
1,31,0,1.0,0.9502058312852957,"['SHFH', 'FFFF', 'FHFF', 'FFFG']"
1,52,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHFF', 'FFHG']"
1,29,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'HHFG']"
1,42,0,1.0,0.9332298921513504,"['SHFF', 'FHFF', 'FHHF', 'FFFG']"
1,5,0,1.0,0.9110661429076764,"['SFFF', 'FFHF', 'FFHF', 'FHHG']"
1,50,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'HFFF', 'HHFG']"
1,48,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FFFF', 'FFHG']"
1,11,0,0.0,0.0,"['SFFH', 'HFFF', 'HHFH', 'HHFG']"
1,97,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HFFF', 'FFHG']"
1,67,0,1.0,0.9559328248389055,"['SHFF', 'FFHF', 'FFFH', 'HHFG']"
1,3,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'HFFG']"
1,92,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'FHFF', 'FFHG']"
1,23,0,1.0,0.9165572373164391,"['SFFH', 'FHFF', 'HHHF', 'HFFG']"
1,25,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFH', 'HHFG']"
1,84,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HHFF', 'HFFG']"
