Temperature,Simulations,Return,Discounted Return,Map
1,36,0,1.0,0.9304302024748964,"['SFFF', 'FFFF', 'FHHF', 'FHHG']"
1,40,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'HHFG']"
1,25,0,0.0,0.0,"['SFFH', 'FFHF', 'FFHF', 'HFFG']"
1,97,0,1.0,0.9056079456455165,"['SHFF', 'FHHF', 'FFFF', 'FFHG']"
1,85,0,1.0,0.9645880999032158,"['SFHH', 'HFFH', 'FFFF', 'FFHG']"
1,92,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'HFHH', 'HFFG']"
1,37,0,1.0,0.9445131481500655,"['SFFH', 'FFFH', 'HHFH', 'HHFG']"
1,86,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'HHFF', 'FHHG']"
1,64,0,1.0,0.9445131481500655,"['SFFH', 'FFFF', 'HHFH', 'HHFG']"
1,51,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'FFHF', 'FHHG']"
1,32,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HHHG']"
1,88,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'FHHF', 'FHHG']"
1,84,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'FFFF', 'FHFG']"
1,6,0,1.0,0.9821344612135428,"['SHFH', 'FFFH', 'FFFF', 'FFFG']"
1,3,0,1.0,0.7653658663581259,"['SFFF', 'HHHF', 'HFHF', 'FFFG']"
1,27,0,1.0,0.9276389118674717,"['SHHH', 'FFFF', 'HFFF', 'FFFG']"
1,64,0,1.0,0.9616943356035061,"['SFFF', 'HHFH', 'FHFF', 'HHFG']"
1,32,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'FHHG']"
1,67,0,1.0,0.9193151828650342,"['SHFF', 'FFFF', 'HHFF', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FHHF', 'FHFF', 'HFFG']"
1,66,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,79,0,1.0,0.9559328248389055,"['SFFF', 'FFHH', 'FFFF', 'HFHG']"
1,13,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HFHF', 'HHFG']"
1,82,0,1.0,0.9791880578299021,"['SHHH', 'FHFF', 'FFFF', 'HFHG']"
1,33,0,1.0,0.9110661429076764,"['SFFF', 'FFHF', 'FFFF', 'HHFG']"
1,35,0,1.0,0.9445131481500655,"['SFHH', 'FHHF', 'FFHF', 'FFFG']"
1,21,0,1.0,0.7427123967299725,"['SFHH', 'HFHH', 'HFHF', 'HFFG']"
1,64,0,1.0,0.9791880578299021,"['SFHF', 'HFHH', 'FFFF', 'FFFG']"
1,84,0,1.0,0.9248559951318693,"['SFHF', 'HFHH', 'HFHH', 'FFFG']"
1,41,0,1.0,0.884100203995605,"['SFHH', 'HFFF', 'FFHF', 'HHFG']"
1,88,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FHFF', 'FHFG']"
1,90,0,1.0,0.93603800616986,"['SFFH', 'FFHF', 'HFFH', 'HHFG']"
1,90,0,1.0,0.9416796087056153,"['SFHF', 'HFFF', 'FHHF', 'HFFG']"
1,8,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'FHFG']"
1,72,0,1.0,0.884100203995605,"['SFHH', 'HFFF', 'HHFF', 'FHHG']"
1,44,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFHF', 'HHFG']"
1,45,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'FFHF', 'FHFG']"
1,2,0,0.0,0.0,"['SFFF', 'FHFH', 'FFHH', 'HFFG']"
1,11,0,1.0,0.9083329444789534,"['SFFH', 'HFFF', 'FFFH', 'HFFG']"
1,13,0,0.0,0.0,"['SFHF', 'HFFF', 'HFFH', 'FHFG']"
1,63,0,1.0,0.9416796087056153,"['SHFH', 'FHHH', 'FHHH', 'FFFG']"
1,62,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHHF', 'FFFG']"
1,79,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'FHHF', 'FHHG']"
1,38,0,1.0,0.8527925358961662,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,20,0,1.0,0.7449472384453084,"['SFHH', 'FFHF', 'FHFF', 'FFFG']"
1,72,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'HFFF', 'HFFG']"
1,86,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'FHFF', 'FFHG']"
1,98,0,1.0,0.9704017769489168,"['SHHF', 'FFFF', 'FHFF', 'HFFG']"
1,35,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFH', 'HHFG']"
1,99,0,1.0,0.9704017769489168,"['SFFF', 'FHFH', 'FFFH', 'HHFG']"
1,82,0,1.0,0.9445131481500655,"['SFHH', 'HFHF', 'HFHH', 'FFFG']"
1,63,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFH', 'FHFG']"
1,97,0,1.0,0.9445131481500655,"['SFHF', 'HFFF', 'FHHF', 'FFHG']"
1,23,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HFHG']"
1,43,0,1.0,0.9445131481500655,"['SFFF', 'HFHH', 'FFFF', 'HFHG']"
1,100,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FFHF', 'FHFG']"
1,50,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFFF', 'FHHG']"
1,78,0,1.0,0.93603800616986,"['SFHF', 'HFFF', 'HFFH', 'HHFG']"
1,5,0,1.0,0.9110661429076764,"['SFFH', 'HFFF', 'FHFF', 'FFFG']"
1,72,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FFHG']"
1,34,0,1.0,0.8078974551636565,"['SFFF', 'FFFF', 'HHFH', 'HHFG']"
1,52,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FHFF', 'HFHG']"
1,68,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HHFG']"
1,23,0,1.0,0.9056079456455165,"['SFFF', 'FHFF', 'FHHF', 'FFHG']"
1,12,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'HFFG']"
1,5,0,0.0,0.0,"['SFFH', 'FHFF', 'HHFF', 'FFHG']"
1,28,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFHF', 'HHHG']"
1,37,0,1.0,0.8894287717672626,"['SFFH', 'HFFH', 'HFHH', 'FFFG']"
1,30,0,1.0,0.9138075656044898,"['SFFH', 'HFFF', 'HHFF', 'FFHG']"
1,39,0,1.0,0.9332298921513504,"['SFHF', 'HFFH', 'HFFH', 'HHFG']"
1,13,0,0.0,0.0,"['SFFF', 'FFHF', 'HHHF', 'HHFG']"
1,26,0,1.0,0.9445131481500655,"['SFFH', 'HFFH', 'FHFF', 'FFFG']"
1,18,0,0.0,0.0,"['SFHH', 'FFHF', 'FFFF', 'HFHG']"
1,88,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,36,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FFHF', 'HHHG']"
1,13,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFF', 'FFHG']"
