Temperature,Simulations,Return,Discounted Return,Map
1,92,0,1.0,0.9762504936564125,"['SFFH', 'FFHH', 'FHFH', 'FFFG']"
1,30,0,1.0,0.9502058312852957,"['SHHF', 'FFFF', 'HFFF', 'FFHG']"
1,82,0,1.0,0.9332298921513504,"['SFFF', 'FFHH', 'HFFF', 'HHHG']"
1,62,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HFFF', 'HFHG']"
1,67,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HFFF', 'HFHG']"
1,91,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'HFFF', 'FFHG']"
1,70,0,1.0,0.9138075656044898,"['SFHF', 'HFFH', 'FFFF', 'FHHG']"
1,19,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FHHG']"
1,97,0,1.0,0.9791880578299021,"['SFFH', 'HHFH', 'HFFF', 'HFFG']"
1,98,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFFF', 'FHHG']"
1,5,0,0.0,0.0,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,29,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HHFG']"
1,57,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HHFH', 'HHFG']"
1,77,0,1.0,0.8814479033836181,"['SFFF', 'HFHH', 'FFHH', 'FFFG']"
1,100,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FHFF', 'HHHG']"
1,45,0,1.0,0.9165572373164391,"['SHFH', 'FHFF', 'FHFH', 'FFFG']"
1,46,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'HHFG']"
1,98,0,1.0,0.9674905716180701,"['SHFH', 'FFHF', 'FHFH', 'FFFG']"
1,91,0,1.0,0.9616943356035061,"['SHHF', 'FFFH', 'HFFF', 'FHHG']"
1,26,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HHFG']"
1,33,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'HHFF', 'FHFG']"
1,53,0,1.0,0.9645880999032158,"['SFHH', 'FFHH', 'FFHH', 'HFFG']"
1,40,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'FFFF', 'FHHG']"
1,21,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFF', 'HHFG']"
1,20,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HFFG']"
1,89,0,1.0,0.9733217421754432,"['SFHF', 'HFFH', 'HFFF', 'HFHG']"
1,31,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFH', 'HHFG']"
1,95,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HHHF', 'FHHG']"
1,21,0,0.0,0.0,"['SHHH', 'FFHF', 'FFHF', 'HFFG']"
1,100,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,29,0,1.0,0.857932408958235,"['SFFF', 'FFHF', 'HFHH', 'FFFG']"
1,91,0,1.0,0.9530650263643888,"['SFFH', 'FFFF', 'FHFH', 'HHFG']"
1,67,0,1.0,0.9445131481500655,"['SFHH', 'HFFH', 'FFFH', 'FHFG']"
1,57,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'FFFG']"
1,94,0,1.0,0.9674905716180701,"['SHFH', 'FFHH', 'FFFH', 'FFFG']"
1,57,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFFF', 'HFHG']"
1,94,0,1.0,0.8631032605924442,"['SFHF', 'FFHH', 'HFHF', 'HFFG']"
1,36,0,1.0,0.9791880578299021,"['SHHF', 'FHFF', 'FFFF', 'FFFG']"
1,85,0,1.0,0.9616943356035061,"['SFFF', 'HFFH', 'FHFH', 'HFFG']"
1,9,0,1.0,0.9248559951318693,"['SFHF', 'HFFH', 'FFFF', 'FFFG']"
1,38,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'FFFF', 'HFFG']"
1,65,0,1.0,0.8275513922024125,"['SFHF', 'HFFH', 'FFFF', 'HHHG']"
1,98,0,1.0,0.9388545698794984,"['SHFF', 'FFHH', 'HFFF', 'HHFG']"
1,30,0,1.0,0.9304302024748964,"['SFHH', 'HFFF', 'HHFF', 'HFHG']"
1,67,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'FHHG']"
1,95,0,1.0,0.9733217421754432,"['SFFF', 'FFHH', 'FFHH', 'FFFG']"
1,22,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HHHG']"
1,41,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HFHF', 'FFFG']"
1,3,0,0.0,0.0,"['SFFH', 'HFFF', 'FHHF', 'HHFG']"
1,52,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'FFHG']"
1,28,0,1.0,0.93603800616986,"['SFFF', 'HHHF', 'FHHF', 'HFFG']"
1,18,0,0.0,0.0,"['SHFH', 'FHHF', 'FHFH', 'FFFG']"
1,48,0,1.0,0.9332298921513504,"['SFFF', 'HHFF', 'HHFH', 'FFFG']"
1,22,0,1.0,0.90289112180858,"['SFHH', 'HFHF', 'HFHF', 'FFFG']"
1,93,0,1.0,0.9388545698794984,"['SFFH', 'HFHF', 'FFHF', 'HFFG']"
1,94,0,1.0,0.9056079456455165,"['SHHH', 'FFFH', 'HHFH', 'FFFG']"
1,62,0,1.0,0.8761671489944468,"['SFHH', 'FHHF', 'FFHH', 'HFFG']"
