Temperature,Simulations,Return,Discounted Return,Map
1,10,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFF', 'FFHG']"
1,9,0,0.0,0.0,"['SFHF', 'HFHF', 'HFHF', 'HFFG']"
1,91,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'HHFG']"
1,1,0,0.0,0.0,"['SFFH', 'FHFF', 'HFHF', 'FHFG']"
1,1,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,16,0,1.0,0.9110661429076764,"['SFHH', 'FFFF', 'FFHF', 'HFFG']"
1,36,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'FHFF', 'HHHG']"
1,38,0,1.0,0.9138075656044898,"['SFFH', 'HHFH', 'HHFH', 'HHFG']"
1,52,0,1.0,0.9616943356035061,"['SHHF', 'FFFF', 'FHFH', 'FFFG']"
1,86,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HHHG']"
1,37,0,1.0,0.9704017769489168,"['SFFH', 'FFHH', 'FFFF', 'FFFG']"
1,83,0,1.0,0.9762504936564125,"['SFHF', 'FFHF', 'HFFF', 'FFHG']"
1,80,0,1.0,0.9762504936564125,"['SFHF', 'HFHH', 'FFHF', 'HFFG']"
1,72,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFHF', 'HFFG']"
1,11,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HHHG']"
1,27,0,1.0,0.9704017769489168,"['SHFH', 'FFFF', 'FFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'HHHG']"
1,58,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFH', 'HFFG']"
1,28,0,1.0,0.9220814271464737,"['SFFF', 'HFHF', 'FHFF', 'FHHG']"
1,49,0,1.0,0.9248559951318693,"['SHHH', 'FFFF', 'HHFF', 'HFFG']"
1,97,0,1.0,0.9193151828650342,"['SFFH', 'HFFF', 'FFHF', 'HFFG']"
1,89,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'FFHH', 'FFFG']"
1,98,0,1.0,0.9674905716180701,"['SFHH', 'HFHF', 'FFHF', 'HFFG']"
1,39,0,1.0,0.9559328248389055,"['SFFH', 'HHFH', 'FFFF', 'HFHG']"
1,64,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'HFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFH', 'HFFG']"
1,60,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'HFHG']"
1,26,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFH', 'FHFG']"
1,81,0,1.0,0.9704017769489168,"['SFFF', 'FHFH', 'HFFF', 'HHHG']"
1,49,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'HHFG']"
1,78,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'FFHF', 'HFFG']"
1,87,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'FHFH', 'HFFG']"
1,65,0,0.0,0.0,"['SHFF', 'FHFH', 'FFHF', 'HFFG']"
1,23,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FFFG']"
1,23,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHFG']"
1,25,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFFF', 'HHFG']"
