Temperature,Simulations,Return,Discounted Return,Map
1,18,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,68,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'FFFH', 'FHFG']"
1,15,0,1.0,0.9502058312852957,"['SFFF', 'HFHF', 'FFHF', 'FHHG']"
1,24,0,1.0,0.8631032605924442,"['SFFH', 'HHFH', 'HHFF', 'FHFG']"
1,87,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFFF', 'HHHG']"
1,29,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'FHFG']"
1,2,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFF', 'HHFG']"
1,30,0,1.0,0.8657003616774767,"['SFFF', 'FFFH', 'FHFF', 'FFHG']"
1,32,0,1.0,0.9416796087056153,"['SFFH', 'HFFH', 'HHFF', 'HHHG']"
1,44,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'FFHF', 'FHHG']"
1,32,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFF', 'FHFG']"
1,15,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'FHHG']"
1,77,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'HHFG']"
1,43,0,1.0,0.8250687380258053,"['SFHF', 'HFHH', 'FFFF', 'FFHG']"
1,68,0,0.0,0.0,"['SHHF', 'FHFF', 'FFHH', 'HFFG']"
1,62,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFH', 'HHFG']"
1,35,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'HHHG']"
1,61,0,1.0,0.93603800616986,"['SFFH', 'HFFH', 'HHFF', 'HHHG']"
1,94,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'FFFF', 'HHFG']"
1,8,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'HHFG']"
1,69,0,1.0,0.9388545698794984,"['SHHH', 'FFFF', 'HFFH', 'HFFG']"
1,25,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HFFF', 'FHFG']"
1,42,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFF', 'FFHG']"
1,55,0,1.0,0.8152123778407558,"['SHHH', 'FFFF', 'FFHF', 'HHHG']"
1,23,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFFF', 'FFHF', 'FHFH', 'FFFG']"
1,39,0,1.0,0.9616943356035061,"['SHFF', 'FHHH', 'FFFH', 'FFFG']"
1,23,0,1.0,0.8867604854519608,"['SFFH', 'FHFF', 'FFFH', 'HFFG']"
1,46,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'FHFG']"
1,38,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'HFHG']"
1,56,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFHH', 'FFFG']"
1,5,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FHFG']"
1,22,0,1.0,0.9762504936564125,"['SFHF', 'HFHH', 'HFFF', 'HFFG']"
1,92,0,1.0,0.985089730404757,"['SHHH', 'FFHH', 'FFFH', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'HFFH', 'FFFF', 'HFFG']"
1,19,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'FHFF', 'HHFG']"
1,25,0,0.0,0.0,"['SHHF', 'FHFF', 'FHFH', 'FFFG']"
1,16,0,1.0,0.8275513922024125,"['SHHH', 'FHHH', 'FFHF', 'FFFG']"
1,37,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'FFHG']"
1,32,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFH', 'HFFG']"
1,93,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FHFF', 'FFFG']"
1,31,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'HHFG']"
1,28,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'FFFF', 'HHFG']"
1,57,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FFFH', 'FHFG']"
1,95,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'HFHF', 'FFFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'FFHG']"
1,57,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'HFFF', 'FFHG']"
1,39,0,1.0,0.9220814271464737,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,24,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'HFFF', 'FFFG']"
1,86,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHHF', 'HFFG']"
1,34,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'FHFF', 'FFFG']"
1,44,0,1.0,0.9473552137914398,"['SFFF', 'HHHF', 'HFFF', 'HFHG']"
1,60,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'FHHG']"
1,65,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'HFFG']"
