Temperature,Simulations,Return,Discounted Return,Map
1,19,0,1.0,0.9083329444789534,"['SFFF', 'HFHH', 'FFFF', 'FFFG']"
1,7,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FHHG']"
1,66,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'FHFF', 'HHHG']"
1,3,0,0.0,0.0,"['SFFH', 'FFFF', 'FFHF', 'FFHG']"
1,14,0,0.0,0.0,"['SFFH', 'HHFF', 'HFHF', 'FHHG']"
1,29,0,0.0,0.0,"['SFHH', 'FHFH', 'FFHH', 'HFFG']"
1,92,0,1.0,0.985089730404757,"['SHHF', 'FFHH', 'FFHF', 'FFFG']"
1,7,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'HHHG']"
1,20,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FHFF', 'FFHG']"
1,93,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFFH', 'HHFG']"
1,6,0,0.0,0.0,"['SFFF', 'FHFH', 'FFFF', 'HHHG']"
1,64,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FFFF', 'FFFG']"
1,57,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'FFFF', 'FHHG']"
1,39,0,1.0,0.9138075656044898,"['SHFH', 'FFHH', 'FHFH', 'FFFG']"
1,90,0,1.0,0.8735386475474635,"['SHHH', 'FFFF', 'FHHF', 'FHFG']"
1,15,0,1.0,0.8103284404851119,"['SFFF', 'FHFH', 'FHFH', 'HFFG']"
1,26,0,0.0,0.0,"['SFHH', 'HFHH', 'HFHF', 'HFFG']"
1,66,0,1.0,0.9733217421754432,"['SHHH', 'FFHH', 'HFHF', 'FFFG']"
1,37,0,1.0,0.93603800616986,"['SFHH', 'FFHF', 'HFFF', 'FFFG']"
1,7,0,0.0,0.0,"['SFFH', 'FFFF', 'FFFH', 'FHFG']"
1,98,0,1.0,0.9110661429076764,"['SFFF', 'HHFH', 'FHFF', 'HFHG']"
1,11,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HHFF', 'FHFG']"
1,18,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'HHFG']"
1,99,0,1.0,0.9733217421754432,"['SFHF', 'HFFH', 'HFFF', 'FHHG']"
1,16,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,42,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HFFH', 'HFFG']"
1,52,0,1.0,0.860513950810667,"['SFFF', 'FFHH', 'HFHF', 'FFFG']"
1,61,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFHF', 'HHFG']"
1,24,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFF', 'FFHG']"
1,24,0,0.0,0.0,"['SFHH', 'HFHF', 'HFHF', 'HFFG']"
1,94,0,1.0,0.8709180316048211,"['SFFF', 'HFHH', 'FFFH', 'FHFG']"
1,87,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'HHFF', 'HHHG']"
1,30,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FHHF', 'HHFG']"
