Temperature,Simulations,Return,Discounted Return,Map
1,2,0,0.0,0.0,"['SFFF', 'FFFH', 'HFHF', 'FFFG']"
1,17,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFF', 'FHFG']"
1,19,0,1.0,0.9083329444789534,"['SFFH', 'FHFF', 'FFHF', 'HFHG']"
1,79,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'FHHF', 'HHHG']"
1,74,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHFF', 'FFFG']"
1,44,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'HHHG']"
1,8,0,1.0,0.7958514863018556,"['SFFH', 'FHFF', 'FFFF', 'FHHG']"
1,74,0,1.0,0.9473552137914398,"['SFHH', 'FHFH', 'FFFH', 'HFFG']"
1,27,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'FHFF', 'FFHG']"
1,16,0,0.0,0.0,"['SFFF', 'FHHF', 'FHFF', 'FFFG']"
1,30,0,1.0,0.9559328248389055,"['SFFF', 'HHHF', 'FHHF', 'HHHG']"
1,22,0,0.0,0.0,"['SHFH', 'FHFH', 'FHFF', 'FFFG']"
1,58,0,1.0,0.8894287717672626,"['SFHH', 'FFHH', 'FHFH', 'FFFG']"
1,59,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'HHHG']"
1,77,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'HHHG']"
1,97,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFHH', 'FFFG']"
1,2,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FFHG']"
1,43,0,1.0,0.9733217421754432,"['SFFH', 'FHFH', 'FFFH', 'FFFG']"
1,58,0,1.0,0.9530650263643888,"['SFHF', 'HFFF', 'HHHF', 'FFHG']"
1,88,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'HFFF', 'HHHG']"
1,57,0,1.0,0.8735386475474635,"['SFHH', 'FFFH', 'HFHF', 'HFFG']"
1,12,0,0.0,0.0,"['SFFH', 'FHFH', 'FFHH', 'HFFG']"
1,99,0,1.0,0.9559328248389055,"['SHHH', 'FFFF', 'HHFF', 'HFFG']"
1,41,0,1.0,0.9193151828650342,"['SHFF', 'FFFF', 'HHHF', 'HFFG']"
1,18,0,1.0,0.835044266956004,"['SFFF', 'HHFH', 'HHFH', 'FHFG']"
1,44,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'HFHF', 'HHFG']"
1,93,0,1.0,0.985089730404757,"['SHFF', 'FFHH', 'FFFH', 'FFFG']"
1,76,0,1.0,0.9645880999032158,"['SHHH', 'FFFH', 'HFFF', 'FFFG']"
1,41,0,1.0,0.9530650263643888,"['SFHH', 'FFFF', 'FHFF', 'HFHG']"
1,18,0,1.0,0.9304302024748964,"['SFFF', 'FFFF', 'HFFH', 'HFFG']"
1,72,0,1.0,0.8451404054461714,"['SFHH', 'HFFH', 'FFFF', 'FHHG']"
1,80,0,1.0,0.9733217421754432,"['SHHH', 'FHFH', 'FFFF', 'HHFG']"
1,99,0,1.0,0.9110661429076764,"['SFFF', 'HHFH', 'FFFF', 'FFHG']"
1,62,0,1.0,0.9645880999032158,"['SHHF', 'FFFH', 'HHFF', 'FFFG']"
1,100,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'HFFF', 'FFFG']"
1,52,0,1.0,0.9559328248389055,"['SFFF', 'FFHH', 'HFFF', 'HHFG']"
1,27,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'HFHG']"
1,69,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'HFFF', 'FFHG']"
1,76,0,1.0,0.9762504936564125,"['SFHF', 'FFHH', 'FFFF', 'HFHG']"
1,72,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HFFF', 'FHFG']"
1,3,0,0.0,0.0,"['SFFF', 'FFFH', 'FFFF', 'FHHG']"
1,63,0,1.0,0.8867604854519608,"['SHHH', 'FHHH', 'FFFF', 'FHFG']"
1,10,0,1.0,0.8127667407072335,"['SFFH', 'FHFF', 'FHHF', 'HHFG']"
1,47,0,1.0,0.9762504936564125,"['SHFH', 'FFHH', 'HFFH', 'FFFG']"
1,38,0,1.0,0.9704017769489168,"['SHHF', 'FFFF', 'FFFH', 'HFFG']"
1,96,0,1.0,0.8867604854519608,"['SFHF', 'FFFF', 'FHHF', 'FFHG']"
1,36,0,1.0,0.7562227231210928,"['SFFH', 'HHFH', 'FFFH', 'FHFG']"
1,2,0,0.0,0.0,"['SHFH', 'FFFF', 'FFFF', 'HFHG']"
1,18,0,0.0,0.0,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
1,16,0,0.0,0.0,"['SFHH', 'FFHF', 'FHFF', 'FFFG']"
1,53,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HFFH', 'HFFG']"
1,34,0,1.0,0.884100203995605,"['SFFH', 'HFFF', 'FHFH', 'FHFG']"
1,17,0,1.0,0.9332298921513504,"['SFFF', 'FFFF', 'FHFH', 'HHFG']"
1,25,0,1.0,0.9193151828650342,"['SFFH', 'HFFH', 'HHFF', 'FHFG']"
1,20,0,1.0,0.7584982177744161,"['SFFH', 'HFHH', 'FFHF', 'FFFG']"
1,7,0,0.0,0.0,"['SFFH', 'FHFF', 'FHFH', 'FFFG']"
1,10,0,1.0,0.835044266956004,"['SFFF', 'FHHF', 'HHFF', 'HHFG']"
1,17,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HFHG']"
1,46,0,1.0,0.8814479033836181,"['SFFF', 'FHFF', 'FHFH', 'HFFG']"
1,88,0,1.0,0.8735386475474635,"['SFHH', 'FHHF', 'FFFF', 'HHFG']"
1,80,0,1.0,0.9559328248389055,"['SFFH', 'HHFF', 'HHFH', 'HHFG']"
1,88,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FFFF', 'FHHG']"
1,7,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HHHG']"
1,19,0,1.0,0.93603800616986,"['SFFF', 'FFHF', 'HHHF', 'FFFG']"
1,73,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFH', 'HHFG']"
