Temperature,Simulations,Return,Discounted Return,Map
1,94,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HHFF', 'HFFG']"
1,26,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FFFH', 'HFFG']"
1,58,0,1.0,0.7910835400474212,"['SFHF', 'FFFF', 'HFHF', 'HFHG']"
1,2,0,1.0,0.860513950810667,"['SFFF', 'FFFF', 'FHFF', 'HFFG']"
1,42,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'FFHG']"
1,50,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FFHF', 'HHHG']"
1,24,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'FHFG']"
1,87,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HHFF', 'FHHG']"
1,37,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'FFFF', 'HFFG']"
1,11,0,0.0,0.0,"['SHFH', 'FFFF', 'FFFF', 'HFHG']"
1,9,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFF', 'FFHG']"
1,95,0,1.0,0.9588092525966956,"['SHFH', 'FFHH', 'FHHF', 'FFFG']"
1,25,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'FFFF', 'HHHG']"
1,92,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HHFF', 'FHFG']"
1,52,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FHFF', 'HHFG']"
1,23,0,1.0,0.9001824484431542,"['SFFF', 'HFFH', 'FFFF', 'FHFG']"
1,14,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,80,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'HFFH', 'FHFG']"
1,97,0,1.0,0.9762504936564125,"['SFFH', 'HHFH', 'FFFF', 'HFHG']"
1,92,0,1.0,0.9138075656044898,"['SHFF', 'FFFF', 'HFFH', 'HFFG']"
1,44,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'HFFF', 'FFFG']"
1,26,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FFFF', 'FHHG']"
1,76,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FHFF', 'HFHG']"
1,59,0,1.0,0.985089730404757,"['SFFH', 'FHFH', 'FFFH', 'FFFG']"
1,7,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'FHHG']"
1,74,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFHF', 'FHFG']"
1,46,0,1.0,0.9674905716180701,"['SHHH', 'FFFH', 'FFHH', 'FFFG']"
1,90,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'HFFF', 'HHHG']"
1,48,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'HHFG']"
1,85,0,1.0,0.8176653739626438,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,53,0,0.0,0.0,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,53,0,1.0,0.9332298921513504,"['SFFH', 'FHHF', 'FHFH', 'FFFG']"
1,21,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'HFFG']"
