Temperature,Simulations,Return,Discounted Return,Map
1,18,0,1.0,0.9056079456455165,"['SFFF', 'FHHF', 'HHFF', 'HFHG']"
1,22,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'FHHG']"
1,13,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFH', 'HFFG']"
1,68,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FHFF', 'FFHG']"
1,84,0,1.0,0.9388545698794984,"['SFFH', 'HHFH', 'FHFH', 'FFFG']"
1,27,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'FHFG']"
1,89,0,1.0,0.9762504936564125,"['SHFF', 'FHFF', 'FHHH', 'FFFG']"
1,3,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFF', 'FFFG']"
1,68,0,1.0,0.9332298921513504,"['SFFH', 'FFFF', 'FHHF', 'FFHG']"
1,24,0,0.0,0.0,"['SHHF', 'FHHF', 'FHFH', 'FFFG']"
1,80,0,1.0,0.9791880578299021,"['SFFH', 'FHHH', 'FHFH', 'FFFG']"
1,67,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'HFFH', 'FFFG']"
1,43,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHFF', 'HFFG']"
1,35,0,1.0,0.9110661429076764,"['SFHH', 'HFHF', 'HFFH', 'FFFG']"
1,31,0,1.0,0.9165572373164391,"['SFFH', 'HHFF', 'HFFF', 'HFHG']"
1,5,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HFHG']"
1,10,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFF', 'HFHG']"
1,97,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FHFF', 'FFFG']"
1,55,0,1.0,0.9616943356035061,"['SFFH', 'HHFH', 'FHFF', 'FHFG']"
1,20,0,0.0,0.0,"['SFFH', 'FFFH', 'HFHF', 'HFFG']"
1,79,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HFHF', 'FFHG']"
1,19,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFH', 'FHFG']"
1,55,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,49,0,1.0,0.9791880578299021,"['SFHH', 'FHHH', 'FHFH', 'FFFG']"
1,87,0,1.0,0.9193151828650342,"['SFHH', 'HFFH', 'FFFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFH', 'HHFF', 'HFFF', 'HHFG']"
1,36,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHH', 'HFFG']"
1,11,0,1.0,0.9388545698794984,"['SHHH', 'FFFF', 'HFFF', 'HFFG']"
1,42,0,1.0,0.8152123778407558,"['SHHH', 'FHHF', 'FFFF', 'FFHG']"
1,48,0,1.0,0.9733217421754432,"['SFHF', 'HFFH', 'HFFH', 'HFFG']"
1,66,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'FHFF', 'FFHG']"
1,88,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HFHF', 'HFFG']"
1,44,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HFFF', 'FFHG']"
1,97,0,1.0,0.9821344612135428,"['SHHF', 'FHHH', 'FFFH', 'FFFG']"
1,96,0,1.0,0.985089730404757,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFH', 'HFFG']"
1,66,0,1.0,0.9165572373164391,"['SFFH', 'HHFH', 'FFFF', 'HFFG']"
1,38,0,1.0,0.9388545698794984,"['SFHF', 'FFHH', 'FFFH', 'HFFG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFHF', 'FFHG']"
1,20,0,1.0,0.9083329444789534,"['SHHF', 'FHFH', 'FFHF', 'FFFG']"
1,71,0,1.0,0.9332298921513504,"['SFFH', 'HFFF', 'HFHF', 'HHHG']"
