Temperature,Simulations,Return,Discounted Return,Map
1,48,0,1.0,0.9588092525966956,"['SFHF', 'FFFF', 'FFFH', 'HHFG']"
1,78,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'HHFG']"
1,89,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'FHHF', 'FHHG']"
1,78,0,1.0,0.9416796087056153,"['SHHF', 'FFFF', 'HFHF', 'HFFG']"
1,78,0,1.0,0.9559328248389055,"['SFFF', 'HHFH', 'HFFH', 'FHFG']"
1,34,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'HHFG']"
1,68,0,1.0,0.8176653739626438,"['SHFH', 'FHFH', 'FFFF', 'HFHG']"
1,63,0,1.0,0.9304302024748964,"['SFHF', 'FFHH', 'FFFH', 'FHFG']"
1,34,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFFF', 'FHFG']"
1,93,0,1.0,0.9220814271464737,"['SHHH', 'FFFF', 'HFFH', 'HHFG']"
1,17,0,1.0,0.884100203995605,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FFHH', 'HFHF', 'FFFG']"
1,44,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FFFF', 'FHFG']"
1,14,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,65,0,1.0,0.9138075656044898,"['SFFF', 'FFHH', 'HFFF', 'FHFG']"
1,89,0,1.0,0.9138075656044898,"['SHHF', 'FFFH', 'FHFH', 'HFFG']"
