Temperature,Simulations,Return,Discounted Return,Map
1,14,0,1.0,0.9332298921513504,"['SFHF', 'HFFF', 'HFFF', 'HHFG']"
1,82,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FFHG']"
1,59,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HHFF', 'FHHG']"
1,2,0,0.0,0.0,"['SHHH', 'FHHF', 'FHHH', 'FFFG']"
1,51,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HHHF', 'HHHG']"
1,20,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFF', 'FFHG']"
1,41,0,0.0,0.0,"['SFHF', 'FHFH', 'FFHF', 'HFFG']"
1,5,0,1.0,0.9332298921513504,"['SFFF', 'FHFF', 'HHFF', 'FFFG']"
1,17,0,1.0,0.9248559951318693,"['SFFF', 'FFHF', 'FHFF', 'HHHG']"
1,39,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'HHHF', 'FHHG']"
1,37,0,1.0,0.8814479033836181,"['SFFH', 'HHFH', 'HFFF', 'FHHG']"
1,91,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFH', 'HFFG']"
1,36,0,1.0,0.9559328248389055,"['SFFH', 'FHFH', 'HFFH', 'FHFG']"
1,46,0,1.0,0.9276389118674717,"['SFFH', 'FFFF', 'FHHH', 'FFFG']"
1,57,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HFFF', 'FFFG']"
1,74,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'HHFF', 'FHFG']"
1,61,0,1.0,0.7630697687590515,"['SFHH', 'FHHF', 'FFFH', 'HFFG']"
1,91,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HHHF', 'HFFG']"
1,54,0,1.0,0.837556937769312,"['SFHF', 'FFHH', 'FFFF', 'HFHG']"
1,29,0,1.0,0.7584982177744161,"['SHFH', 'FFHH', 'HFFF', 'HFFG']"
1,68,0,1.0,0.985089730404757,"['SFHF', 'FHFH', 'FFHF', 'FFFG']"
1,48,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HFFF', 'FFFG']"
1,94,0,1.0,0.837556937769312,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,41,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'HFFG']"
1,24,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFH', 'FHFG']"
1,9,0,0.0,0.0,"['SHHF', 'FHFH', 'FFHF', 'FFFG']"
1,48,0,1.0,0.8426049842298329,"['SFFF', 'FHFH', 'HFFF', 'FHHG']"
1,39,0,1.0,0.9083329444789534,"['SHHH', 'FHHF', 'FFFF', 'HFHG']"
1,13,0,1.0,0.8152123778407558,"['SFFF', 'FFHF', 'HHHF', 'FFHG']"
1,86,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FFFF', 'FFFG']"
1,10,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HFFG']"
1,45,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'FFHG']"
1,81,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'FFFF', 'FHFG']"
