Temperature,Simulations,Return,Discounted Return,Map
1,34,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FHFF', 'HHHG']"
1,3,0,0.0,0.0,"['SFHF', 'FFFH', 'FFHF', 'FFFG']"
1,30,0,1.0,0.9502058312852957,"['SFFF', 'FHHF', 'HHHF', 'HFFG']"
1,49,0,1.0,0.9138075656044898,"['SFHF', 'FFHF', 'HFHF', 'HFFG']"
1,25,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HFFG']"
1,20,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFH', 'FHFG']"
1,34,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'HHFF', 'HHHG']"
1,50,0,1.0,0.9530650263643888,"['SFFF', 'HHFH', 'FFFH', 'FFFG']"
1,22,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FHHG']"
1,4,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'FFHG']"
1,69,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'FFFG']"
1,80,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'HHFF', 'FHFG']"
1,96,0,1.0,0.9559328248389055,"['SFHF', 'HFHF', 'FFFH', 'FHFG']"
1,17,0,0.0,0.0,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,32,0,0.0,0.0,"['SFFF', 'FHFH', 'HHFH', 'HFFG']"
1,31,0,1.0,0.9645880999032158,"['SFHF', 'FHHF', 'FFFF', 'HHFG']"
1,3,0,1.0,0.9674905716180701,"['SHFH', 'FFFF', 'FFFF', 'FFFG']"
1,59,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'FHHF', 'FHFG']"
1,84,0,1.0,0.8400771692771434,"['SHFH', 'FFFH', 'HFHF', 'HFFG']"
1,19,0,1.0,0.9762504936564125,"['SFHH', 'FFHF', 'HFFH', 'FFFG']"
1,79,0,1.0,0.9304302024748964,"['SFFH', 'FHFH', 'FHFF', 'FHHG']"
1,50,0,1.0,0.9165572373164391,"['SFHH', 'HFHF', 'FFFF', 'FHHG']"
1,63,0,1.0,0.9645880999032158,"['SFFH', 'FHHF', 'FFFF', 'FFFG']"
1,90,0,1.0,0.985089730404757,"['SHFH', 'FHHF', 'FFFF', 'HFFG']"
1,90,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FFFF', 'HFHG']"
1,55,0,1.0,0.9674905716180701,"['SHHF', 'FFFF', 'FFFF', 'HHHG']"
1,75,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'HFHH', 'HFFG']"
1,57,0,1.0,0.9674905716180701,"['SFHH', 'FFHF', 'FFFF', 'FFHG']"
1,67,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'FFFH', 'FFFG']"
1,63,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'HFFG']"
1,76,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'FFHF', 'FFHG']"
1,89,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFF', 'HHFG']"
1,37,0,1.0,0.9616943356035061,"['SFHH', 'FFFH', 'HHFF', 'FFFG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HHFF', 'FFHG']"
1,91,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'FFFH', 'FFFG']"
1,74,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'HFFF', 'HFFG']"
1,81,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FFFF', 'HFHG']"
