Temperature,Simulations,Return,Discounted Return,Map
1,2,0,0.0,0.0,"['SFFH', 'FHFF', 'FHFF', 'FHFG']"
1,79,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HFFF', 'FHFG']"
1,75,0,1.0,0.8400771692771434,"['SHHF', 'FFFH', 'HFFF', 'HHHG']"
1,7,0,0.0,0.0,"['SFFF', 'HHFF', 'HHFH', 'FHFG']"
1,6,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FFHG']"
1,12,0,0.0,0.0,"['SFFH', 'FFHH', 'FFFH', 'HFFG']"
1,45,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'HFHG']"
1,96,0,1.0,0.9762504936564125,"['SHHF', 'FFFH', 'HFFF', 'HHFG']"
1,79,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'FFHG']"
1,11,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFHH', 'HFHH', 'FFHH', 'FFFG']"
1,82,0,1.0,0.9616943356035061,"['SFHH', 'FHFH', 'FFHF', 'FFFG']"
1,50,0,1.0,0.8894287717672626,"['SFHF', 'HFFF', 'HHHF', 'FFFG']"
1,85,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFFF', 'FFFG']"
1,66,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'FFFF', 'FHHG']"
1,75,0,1.0,0.8761671489944468,"['SHFH', 'FHFH', 'FFFH', 'HFFG']"
1,50,0,1.0,0.9276389118674717,"['SFHF', 'FFHF', 'HFFF', 'HHHG']"
1,86,0,1.0,0.9733217421754432,"['SFFF', 'FFFH', 'FHFH', 'HFFG']"
1,60,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'HFFH', 'FHFG']"
1,23,0,1.0,0.8894287717672626,"['SFFF', 'HHFF', 'FHHF', 'FFFG']"
1,72,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHHF', 'HFHG']"
1,61,0,1.0,0.857932408958235,"['SHFH', 'FHFH', 'FFFF', 'FHHG']"
1,41,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'FFHH', 'FFFG']"
1,75,0,1.0,0.8709180316048211,"['SFFF', 'HHFH', 'HHFH', 'FHFG']"
1,79,0,1.0,0.9416796087056153,"['SFFH', 'HFHH', 'FFFF', 'HHHG']"
1,46,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'HFHF', 'HFFG']"
1,70,0,1.0,0.9445131481500655,"['SFFF', 'FFFF', 'FFHF', 'FFFG']"
1,40,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HFHG']"
1,10,0,1.0,0.9220814271464737,"['SFFF', 'FFFF', 'FFHF', 'FFHG']"
1,32,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFH', 'FHFG']"
1,22,0,1.0,0.9762504936564125,"['SHFF', 'FFHF', 'FFFF', 'FFFG']"
1,95,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FHHG']"
1,39,0,0.0,0.0,"['SHHF', 'FFHF', 'FFHF', 'HFFG']"
1,88,0,1.0,0.860513950810667,"['SFHH', 'HFHH', 'FFFH', 'FHFG']"
1,54,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'FFFF', 'HHHG']"
1,20,0,1.0,0.93603800616986,"['SFHH', 'HFHH', 'HFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'HHFG']"
1,45,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'HFHG']"
1,53,0,1.0,0.9559328248389055,"['SFHH', 'FHHH', 'FHHF', 'FFFG']"
1,43,0,1.0,0.8400771692771434,"['SFFH', 'FFHF', 'HFFF', 'HFHG']"
1,80,0,1.0,0.8761671489944468,"['SHFF', 'FHHF', 'FFFF', 'FFHG']"
1,20,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'FHFG']"
1,56,0,1.0,0.9276389118674717,"['SFHH', 'FFFH', 'HHFF', 'HFFG']"
1,41,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'HHFG']"
1,44,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'FFFF', 'HFFG']"
1,93,0,1.0,0.8814479033836181,"['SFHF', 'FFHF', 'HFFF', 'FHFG']"
1,82,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FFFH', 'FHFG']"
1,81,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'HHFF', 'HFHG']"
1,36,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'FHFG']"
1,98,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FFHG']"
1,30,0,1.0,0.8631032605924442,"['SFHH', 'HFFF', 'HFHH', 'FFFG']"
1,59,0,1.0,0.9110661429076764,"['SFHF', 'HFFF', 'HHFH', 'FHFG']"
1,2,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'FHHG']"
1,100,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'FHFG']"
1,50,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'FHHG']"
1,28,0,0.0,0.0,"['SHHH', 'FFFH', 'FFHH', 'HFFG']"
1,76,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HHFG']"
1,26,0,1.0,0.9056079456455165,"['SFFH', 'HFFF', 'HFHH', 'FFFG']"
1,15,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'HHFG']"
1,22,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FFHG']"
1,86,0,1.0,0.9559328248389055,"['SHFF', 'FFFH', 'FFHF', 'HFFG']"
1,45,0,1.0,0.9791880578299021,"['SFFH', 'HHFH', 'HHFF', 'HHFG']"
1,21,0,1.0,0.9248559951318693,"['SHHF', 'FFFF', 'FFFF', 'HHHG']"
1,73,0,1.0,0.9110661429076764,"['SFHH', 'HFFH', 'FFFF', 'FHHG']"
1,3,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFF', 'FFFG']"
1,94,0,1.0,0.9762504936564125,"['SHFF', 'FFHF', 'FFHH', 'HFFG']"
1,22,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HHHG']"
1,63,0,1.0,0.9332298921513504,"['SHFF', 'FFFH', 'HFFF', 'FHHG']"
1,71,0,1.0,0.9530650263643888,"['SHFF', 'FFHF', 'FFHH', 'HFFG']"
1,80,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'FHHG']"
1,64,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HHHG']"
1,57,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HFHF', 'FHHG']"
1,45,0,1.0,0.9704017769489168,"['SFHH', 'FFFH', 'FFHF', 'HFFG']"
1,85,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'HHFG']"
1,84,0,1.0,0.9762504936564125,"['SFFH', 'FHHH', 'FFFF', 'FFFG']"
1,68,0,1.0,0.9733217421754432,"['SFFH', 'HHFH', 'HHFF', 'FHFG']"
1,36,0,1.0,0.8657003616774767,"['SHFH', 'FFFH', 'HFFH', 'FFFG']"
1,93,0,1.0,0.9645880999032158,"['SFFH', 'FHFH', 'HHFF', 'HHHG']"
1,15,0,1.0,0.9821344612135428,"['SHFH', 'FFFH', 'FFFF', 'FFFG']"
1,19,0,1.0,0.9704017769489168,"['SHFH', 'FHHF', 'FHHH', 'FFFG']"
1,36,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFH', 'HFFG']"
1,20,0,1.0,0.9473552137914398,"['SFHF', 'HFFF', 'FFFF', 'FFFG']"
1,82,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HHFF', 'FFHG']"
1,22,0,1.0,0.9445131481500655,"['SHHH', 'FFFH', 'FFFH', 'FFFG']"
1,67,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FHFF', 'FFFG']"
1,67,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'FHHG']"
1,7,0,0.0,0.0,"['SFFF', 'FHFF', 'FFFH', 'HHFG']"
1,78,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FFHF', 'HFFG']"
1,4,0,0.0,0.0,"['SHFH', 'FFHH', 'FFHF', 'FFFG']"
1,21,0,1.0,0.9056079456455165,"['SFFH', 'HFFF', 'HHHF', 'HHHG']"
1,29,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'FFHH', 'FFFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FFFG']"
1,40,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHHG']"
1,16,0,1.0,0.9416796087056153,"['SFFF', 'FHFF', 'FHFF', 'HFHG']"
1,34,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'HFFF', 'HHFG']"
1,42,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'FHHG']"
1,98,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'HFFF', 'HFHG']"
1,43,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HFFF', 'HHFG']"
1,15,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HHHG']"
1,21,0,1.0,0.8527925358961662,"['SFFH', 'HFHH', 'FFHF', 'FFFG']"
1,19,0,1.0,0.9332298921513504,"['SFFF', 'FHHF', 'FFHF', 'FFHG']"
1,70,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHFF', 'HFFG']"
1,34,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFH', 'HFFG']"
1,17,0,1.0,0.8761671489944468,"['SFFH', 'HFFF', 'HFFF', 'FFHG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'FHHF', 'FFHG']"
1,46,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFH', 'FFFG']"
1,36,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HHHG']"
1,39,0,1.0,0.9502058312852957,"['SHHF', 'FHHF', 'FHFF', 'FFFG']"
