Temperature,Simulations,Return,Discounted Return,Map
1,5,0,0.0,0.0,"['SFFH', 'HFHH', 'FFHF', 'HFFG']"
1,31,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'FFHG']"
1,30,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HFFF', 'HHFG']"
1,26,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFH', 'FHFG']"
1,57,0,1.0,0.8921050870283477,"['SFHH', 'FFHF', 'HFFF', 'HFHG']"
1,61,0,1.0,0.9674905716180701,"['SFFH', 'FHHF', 'FHHH', 'FFFG']"
1,65,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'FFHF', 'FHHG']"
1,61,0,1.0,0.8894287717672626,"['SFHH', 'HFFH', 'FFHF', 'FFFG']"
1,44,0,1.0,0.9248559951318693,"['SFFF', 'FHFH', 'HHFF', 'HHFG']"
1,67,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'FHFH', 'HHFG']"
1,23,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HFFG']"
1,33,0,1.0,0.884100203995605,"['SHHF', 'FHHH', 'FHHH', 'FFFG']"
1,96,0,1.0,0.9791880578299021,"['SFHF', 'HFHH', 'FFFF', 'FHFG']"
1,31,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,23,0,0.0,0.0,"['SFHH', 'FFHF', 'FHHF', 'FFFG']"
1,25,0,1.0,0.8553586117313603,"['SFHF', 'FFFF', 'FHFF', 'FHFG']"
1,39,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FFFF', 'HHFG']"
1,11,0,0.0,0.0,"['SFFH', 'FHFF', 'FFHH', 'FFFG']"
