Temperature,Simulations,Return,Discounted Return,Map
1,56,0,1.0,0.9001824484431542,"['SHHH', 'FHFF', 'FFFF', 'HHFG']"
1,1,0,1.0,0.9332298921513504,"['SFFF', 'FHFF', 'FFFF', 'FHHG']"
1,28,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'FFHG']"
1,51,0,1.0,0.7887102894272789,"['SFHF', 'FFFF', 'FHHF', 'FFHG']"
1,95,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HHHG']"
1,34,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HHHG']"
1,52,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,51,0,1.0,0.985089730404757,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,74,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'HHHF', 'HFFG']"
1,54,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFF', 'HFHH', 'FFFG']"
1,35,0,1.0,0.9704017769489168,"['SHHF', 'FFHH', 'FFHH', 'FFFG']"
1,48,0,1.0,0.8631032605924442,"['SHHH', 'FFFF', 'HFFF', 'FFHG']"
1,64,0,1.0,0.9445131481500655,"['SHHF', 'FFFF', 'FHHF', 'FFFG']"
1,79,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'HFFF', 'FHFG']"
1,46,0,1.0,0.9473552137914398,"['SFFH', 'FFHH', 'FHHF', 'FFFG']"
1,66,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'HHFG']"
1,14,0,1.0,0.93603800616986,"['SFFF', 'HFFF', 'HFFH', 'FHFG']"
1,58,0,1.0,0.9416796087056153,"['SFFH', 'FHFF', 'HHHF', 'FFFG']"
1,99,0,1.0,0.9559328248389055,"['SHFF', 'FFHH', 'FFFF', 'HHHG']"
1,84,0,1.0,0.9762504936564125,"['SHHF', 'FFFH', 'FFFF', 'HHHG']"
1,15,0,0.0,0.0,"['SHFH', 'FFFH', 'HFHF', 'FFFG']"
1,84,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFH', 'FHFG']"
1,2,0,1.0,0.9502058312852957,"['SFFF', 'FFFF', 'HFFF', 'HHHG']"
1,95,0,1.0,0.985089730404757,"['SFHF', 'HFHF', 'HFFF', 'HFFG']"
1,42,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHH', 'HFFG']"
1,49,0,1.0,0.9502058312852957,"['SHHH', 'FFFF', 'HFFF', 'HHFG']"
1,8,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,17,0,1.0,0.9220814271464737,"['SFFH', 'HFFF', 'HFFF', 'HHHG']"
1,4,0,0.0,0.0,"['SFFF', 'HHFH', 'FHFH', 'HHFG']"
1,66,0,1.0,0.9388545698794984,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,82,0,1.0,0.9791880578299021,"['SHFH', 'FHFF', 'FFFH', 'FFFG']"
1,85,0,1.0,0.8761671489944468,"['SHFH', 'FHFH', 'FFFH', 'HHFG']"
1,31,0,1.0,0.9473552137914398,"['SFFF', 'HFFH', 'FHFF', 'HHHG']"
1,77,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FHHF', 'FFFG']"
1,66,0,1.0,0.9674905716180701,"['SFFH', 'HHFH', 'FFFF', 'HHFG']"
1,51,0,1.0,0.776950406379376,"['SFHF', 'HFHF', 'HFFF', 'HHHG']"
1,30,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'HHFG']"
1,29,0,1.0,0.9704017769489168,"['SHFF', 'FHFF', 'FFFF', 'FFFG']"
1,55,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'HFFF', 'FHHG']"
1,12,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HHHG']"
1,69,0,1.0,0.9821344612135428,"['SHFF', 'FHHF', 'FFHF', 'FFFG']"
1,88,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'FHFF', 'HFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFH', 'HHFG']"
1,39,0,1.0,0.9502058312852957,"['SFFF', 'HFFF', 'FFHF', 'HFHG']"
1,48,0,1.0,0.985089730404757,"['SHFF', 'FHHH', 'FFHF', 'FFFG']"
1,61,0,1.0,0.9473552137914398,"['SFFF', 'FFHF', 'HHFF', 'HHHG']"
1,80,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HHFF', 'HFHG']"
1,15,0,0.0,0.0,"['SFFF', 'FFHF', 'FFFH', 'FHFG']"
1,30,0,1.0,0.9248559951318693,"['SFFF', 'HFHF', 'HHHF', 'FFFG']"
1,81,0,1.0,0.860513950810667,"['SFHF', 'FHHH', 'FFFF', 'HHFG']"
1,94,0,1.0,0.9645880999032158,"['SFHH', 'HFFH', 'FHFF', 'HHFG']"
1,93,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFH', 'HFFG']"
1,90,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'FFHH', 'HFFG']"
1,30,0,1.0,0.9001824484431542,"['SFHF', 'FFHF', 'FFFF', 'HHFG']"
1,58,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HFFF', 'FFHG']"
1,15,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFF', 'FFHG']"
1,94,0,0.0,0.0,"['SFFF', 'FHFF', 'FFHH', 'HFFG']"
1,54,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFF', 'FHHG']"
1,10,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'FFFG']"
1,91,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHH', 'FFFG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,98,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHHF', 'HHFG']"
1,35,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HHFG']"
1,51,0,0.0,0.0,"['SHFH', 'FHFH', 'FFHH', 'HFFG']"
1,53,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFF', 'HHHG']"
1,71,0,1.0,0.9110661429076764,"['SFFH', 'HFHH', 'FFFH', 'HFFG']"
1,92,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FHFF', 'FFFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFF', 'FFFG']"
1,59,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFF', 'HFFG']"
1,56,0,1.0,0.9220814271464737,"['SFFH', 'HFFH', 'FHFF', 'FFFG']"
1,50,0,1.0,0.93603800616986,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,14,0,0.0,0.0,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,4,0,1.0,0.7722956964947572,"['SFFF', 'HFFF', 'HFHF', 'HFHG']"
1,73,0,1.0,0.9304302024748964,"['SFHH', 'HFFF', 'FHFF', 'HFFG']"
1,77,0,1.0,0.9083329444789534,"['SFFF', 'FFFF', 'FFHH', 'HFFG']"
1,77,0,1.0,0.9674905716180701,"['SFFH', 'HHFH', 'HHFF', 'FHHG']"
1,17,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FFHG']"
1,7,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'FFFF', 'HFHG']"
1,73,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'FFFH', 'HFFG']"
