Temperature,Simulations,Return,Discounted Return,Map
1,25,0,1.0,0.9276389118674717,"['SFFF', 'FFHH', 'FFFH', 'HFFG']"
1,73,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HFFH', 'HFFG']"
1,2,0,0.0,0.0,"['SFHH', 'HFHF', 'FFHH', 'FFFG']"
1,68,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'HHFF', 'FFFG']"
1,78,0,1.0,0.9445131481500655,"['SFHH', 'FHFF', 'FFFF', 'FHHG']"
1,13,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'HHHG']"
1,42,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'HFHF', 'HHFG']"
1,53,0,1.0,0.9588092525966956,"['SFHF', 'FHHF', 'FHFF', 'FFFG']"
1,85,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'HFFF', 'FFFG']"
1,59,0,1.0,0.8250687380258053,"['SHFH', 'FFFF', 'FFHH', 'HFFG']"
1,70,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FHFG']"
1,77,0,1.0,0.9445131481500655,"['SHFH', 'FFHF', 'HFFH', 'FFFG']"
1,81,0,1.0,0.9821344612135428,"['SFHF', 'FHHH', 'FHHH', 'FFFG']"
1,86,0,1.0,0.9473552137914398,"['SFFF', 'HFHH', 'FFFH', 'HFFG']"
1,77,0,1.0,0.9530650263643888,"['SFFF', 'HFHF', 'HFFH', 'HFFG']"
1,58,0,1.0,0.9559328248389055,"['SHFH', 'FFFF', 'FHFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHF', 'FFHG']"
1,57,0,1.0,0.985089730404757,"['SHFF', 'FFHH', 'FFHH', 'FFFG']"
1,13,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFH', 'HHFG']"
1,26,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FHFG']"
1,69,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'HHHF', 'HFHG']"
1,87,0,1.0,0.9559328248389055,"['SFFH', 'FHFH', 'HHFF', 'HHFG']"
1,36,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'HFFF', 'HHFG']"
1,64,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'HHFH', 'HHFG']"
1,97,0,1.0,0.9704017769489168,"['SHHH', 'FFHF', 'FHFH', 'FFFG']"
1,13,0,1.0,0.9530650263643888,"['SFFH', 'HFFF', 'HHFH', 'HFFG']"
1,20,0,1.0,0.9165572373164391,"['SFFF', 'HFFH', 'HHFH', 'HFFG']"
1,81,0,1.0,0.9791880578299021,"['SHFF', 'FFFH', 'FFFF', 'HFFG']"
1,14,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'FFHG']"
1,79,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HHFF', 'HHHG']"
1,40,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FFFF', 'FHFG']"
1,64,0,1.0,0.9473552137914398,"['SFFH', 'FFFF', 'HHHF', 'HHFG']"
1,75,0,1.0,0.9388545698794984,"['SFHF', 'HFFH', 'FHFF', 'HHFG']"
1,37,0,1.0,0.9165572373164391,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,11,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHH', 'FFFG']"
1,27,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFH', 'FFFG']"
1,59,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFF', 'HFFG']"
1,37,0,1.0,0.9502058312852957,"['SHHF', 'FFFH', 'FHHH', 'FFFG']"
1,52,0,1.0,0.9332298921513504,"['SFHH', 'FHHH', 'FFFF', 'FFHG']"
1,59,0,1.0,0.90289112180858,"['SHHH', 'FFFF', 'FHHF', 'FFFG']"
1,82,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFF', 'HHFG']"
1,31,0,1.0,0.8451404054461714,"['SFFH', 'HFHF', 'HFFF', 'FFHG']"
1,40,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'FHHG']"
1,56,0,0.0,0.0,"['SHFF', 'FHHH', 'FFHH', 'HFFG']"
1,10,0,1.0,0.8709180316048211,"['SFFF', 'HFHF', 'FHHF', 'HFHG']"
1,75,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'HHFF', 'FFHG']"
