Temperature,Simulations,Return,Discounted Return,Map
1,85,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FHHF', 'HFHG']"
1,74,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FHFF', 'HFHG']"
1,65,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'HHHF', 'FHHG']"
1,95,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'FFFF', 'HHHG']"
1,35,0,1.0,0.9762504936564125,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,53,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFHF', 'HFFG']"
1,26,0,1.0,0.8683052775100066,"['SFHF', 'FFHF', 'FFFH', 'FHFG']"
1,53,0,1.0,0.9762504936564125,"['SFFF', 'FFFH', 'FFFH', 'HFFG']"
1,7,0,1.0,0.803057341509771,"['SFFF', 'FHFH', 'HHFF', 'HFFG']"
1,62,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'FFHF', 'HHFG']"
1,11,0,0.0,0.0,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,16,0,1.0,0.7653658663581259,"['SFFF', 'FFFH', 'FHFF', 'FFFG']"
1,6,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HFFG']"
1,87,0,1.0,0.9530650263643888,"['SFHF', 'HFFH', 'HHFF', 'HFFG']"
1,78,0,1.0,0.9530650263643888,"['SFHF', 'FFHH', 'FFFF', 'FFHG']"
1,83,0,1.0,0.9588092525966956,"['SFFH', 'HFFH', 'HFFF', 'HHHG']"
1,88,0,1.0,0.9502058312852957,"['SHHH', 'FFFF', 'HFFF', 'HHHG']"
1,42,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFH', 'FHFG']"
1,67,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFF', 'HHHG']"
1,51,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHF', 'FFFG']"
1,4,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'FFHG']"
1,19,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'HFFF', 'FHFG']"
1,54,0,1.0,0.9674905716180701,"['SFHH', 'HFHF', 'FFHH', 'FFFG']"
1,21,0,0.0,0.0,"['SHHF', 'FFFH', 'FFHF', 'HFFG']"
1,17,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'FHHG']"
1,16,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'HFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FHFF', 'FFFH', 'FFFG']"
1,4,0,0.0,0.0,"['SFFF', 'FFFH', 'FHFF', 'HFHG']"
1,31,0,0.0,0.0,"['SFHH', 'FFHH', 'FFFF', 'FHHG']"
1,88,0,1.0,0.9762504936564125,"['SHFF', 'FFHH', 'FFFF', 'FHHG']"
1,90,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FHFF', 'FHFG']"
1,12,0,1.0,0.8225935318117279,"['SFHH', 'FFFF', 'HFFF', 'FFHG']"
1,38,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'HHFG']"
1,36,0,1.0,0.7653658663581259,"['SFFF', 'FHFH', 'FHFF', 'FHHG']"
1,62,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FHFF', 'FHFG']"
1,20,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFF', 'HFHG']"
1,52,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HHFF', 'FFFG']"
1,78,0,1.0,0.8054737627981655,"['SFHH', 'HFFF', 'HHHF', 'HHHG']"
1,19,0,1.0,0.7630697687590515,"['SFHF', 'FFFF', 'FHFF', 'HHHG']"
1,22,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'FHHG']"
1,12,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HHFG']"
1,33,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'FFHF', 'FFFG']"
1,80,0,1.0,0.9733217421754432,"['SHFF', 'FHFH', 'FFHH', 'FFFG']"
1,73,0,1.0,0.9588092525966956,"['SHFH', 'FFFF', 'HHFF', 'FFHG']"
1,47,0,1.0,0.8683052775100066,"['SFHF', 'FFFF', 'FHFF', 'HFHG']"
1,81,0,1.0,0.9193151828650342,"['SFHH', 'HFFH', 'HHFF', 'HFFG']"
1,62,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'FFHF', 'FFFG']"
1,5,0,0.0,0.0,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,13,0,1.0,0.8867604854519608,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,90,0,1.0,0.9791880578299021,"['SFFF', 'FFHH', 'FFHH', 'HFFG']"
1,3,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'HHHG']"
1,28,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HFHF', 'FHFG']"
1,11,0,1.0,0.7653658663581259,"['SFHF', 'HFFF', 'HFHF', 'FFFG']"
1,98,0,1.0,0.9416796087056153,"['SFFH', 'HFHH', 'HFHH', 'FFFG']"
1,96,0,1.0,0.9220814271464737,"['SHFF', 'FHFH', 'FFFF', 'FHFG']"
1,74,0,1.0,0.9674905716180701,"['SHHH', 'FFFF', 'HFHF', 'FFFG']"
1,41,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHF', 'HFFG']"
1,99,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFF', 'FHFG']"
1,55,0,1.0,0.9588092525966956,"['SFFF', 'HHFF', 'FFFF', 'FHHG']"
1,27,0,1.0,0.9304302024748964,"['SFFH', 'FFFF', 'FHFH', 'FHFG']"
1,47,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'FFHG']"
1,42,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'HFFF', 'FHHG']"
1,3,0,0.0,0.0,"['SFFH', 'HFFF', 'FHHF', 'FHFG']"
1,40,0,1.0,0.9530650263643888,"['SFHF', 'HFFF', 'FHFF', 'HFFG']"
1,71,0,1.0,0.9733217421754432,"['SHHF', 'FFFH', 'FFHH', 'HFFG']"
1,88,0,1.0,0.9616943356035061,"['SFHF', 'FFHH', 'HFFF', 'FHHG']"
1,46,0,1.0,0.9821344612135428,"['SFFH', 'HHFH', 'FHFF', 'HHFG']"
1,30,0,1.0,0.8400771692771434,"['SFFH', 'HFHF', 'HFHF', 'HFFG']"
1,9,0,0.0,0.0,"['SFFH', 'FFFH', 'HHFF', 'FFHG']"
1,53,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FFFG']"
1,82,0,1.0,0.9733217421754432,"['SFHH', 'FHHH', 'FHHH', 'FFFG']"
1,45,0,1.0,0.9388545698794984,"['SFFH', 'HHFH', 'HHFH', 'HFFG']"
1,75,0,1.0,0.9821344612135428,"['SFHH', 'FHFF', 'FHHH', 'FFFG']"
1,68,0,1.0,0.93603800616986,"['SFFF', 'FFHF', 'HHFF', 'HHHG']"
1,46,0,0.0,0.0,"['SFFH', 'FHFF', 'HHFH', 'FFFG']"
1,3,0,0.0,0.0,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,16,0,1.0,0.8788035596734672,"['SFFH', 'HFFH', 'HFFF', 'FHHG']"
1,73,0,1.0,0.9530650263643888,"['SFFH', 'FHFH', 'FFFF', 'FHHG']"
1,63,0,1.0,0.9110661429076764,"['SFHF', 'FFFH', 'FHFF', 'FHHG']"
1,64,0,1.0,0.9791880578299021,"['SHHH', 'FFHF', 'FFHH', 'HFFG']"
1,97,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HFFF', 'FHHG']"
1,54,0,1.0,0.9165572373164391,"['SFFH', 'FHFH', 'HHFF', 'FHFG']"
1,71,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFF', 'FHFG']"
1,8,0,1.0,0.9193151828650342,"['SFFF', 'FFFF', 'FFHF', 'HFFG']"
1,50,0,1.0,0.7887102894272789,"['SHHF', 'FFHF', 'HFFH', 'HFFG']"
1,13,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFH', 'HHFG']"
1,94,0,1.0,0.9193151828650342,"['SFFH', 'FHFF', 'FHHH', 'FFFG']"
1,14,0,0.0,0.0,"['SFFF', 'HHFF', 'HFFH', 'FHFG']"
1,63,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'FFFF', 'FHFG']"
1,11,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'HHFG']"
1,71,0,1.0,0.7539540549517295,"['SFFF', 'FHFH', 'FFFH', 'HHFG']"
1,36,0,1.0,0.9276389118674717,"['SFHH', 'HFFH', 'FFFF', 'HHHG']"
1,78,0,1.0,0.8761671489944468,"['SFFH', 'FHFH', 'FHFH', 'FHFG']"
1,12,0,1.0,0.93603800616986,"['SFFF', 'FHFF', 'FFHF', 'HFHG']"
1,42,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HFHG']"
