Temperature,Simulations,Return,Discounted Return,Map
1,10,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FFFF', 'HHHG']"
1,39,0,1.0,0.8275513922024125,"['SHFF', 'FFFH', 'HFHF', 'FFFG']"
1,90,0,1.0,0.8553586117313603,"['SFHF', 'FFHF', 'HFFH', 'FHFG']"
1,34,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHHF', 'HHHG']"
1,93,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'HHFF', 'FHHG']"
1,24,0,1.0,0.9110661429076764,"['SHFH', 'FFFF', 'HHFF', 'HHFG']"
1,68,0,1.0,0.8867604854519608,"['SFFF', 'FHFF', 'HHFH', 'FHFG']"
1,44,0,1.0,0.9645880999032158,"['SFFH', 'HHFH', 'HHFF', 'HFHG']"
1,18,0,1.0,0.837556937769312,"['SFHF', 'FFHF', 'FFHH', 'FFFG']"
1,38,0,1.0,0.9704017769489168,"['SFFH', 'HFHF', 'HFFF', 'HFFG']"
1,74,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'HHHF', 'HFHG']"
1,33,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'FHFG']"
1,50,0,1.0,0.9588092525966956,"['SFFH', 'FHHF', 'FFFH', 'HFFG']"
1,8,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'HHHG']"
1,96,0,1.0,0.9704017769489168,"['SHFH', 'FHHF', 'FHHH', 'FFFG']"
1,3,0,0.0,0.0,"['SHFH', 'FFHF', 'FHHH', 'FFFG']"
1,8,0,1.0,0.8006481694852418,"['SFFH', 'FHFF', 'FFFF', 'FHHG']"
1,74,0,1.0,0.9588092525966956,"['SFHF', 'FFFH', 'FHFF', 'HHHG']"
1,26,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'HHHF', 'FHFG']"
1,41,0,1.0,0.9056079456455165,"['SFHH', 'HFFH', 'HFFH', 'HFFG']"
1,48,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'FFFF', 'FHFG']"
1,89,0,1.0,0.9502058312852957,"['SFFH', 'HHFF', 'HHHF', 'HFHG']"
1,94,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'FHHF', 'HHHG']"
1,3,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HHFG']"
1,10,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'FFFG']"
1,67,0,1.0,0.9445131481500655,"['SHFF', 'FFFF', 'HHFF', 'HHHG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FHFF', 'FFFG']"
1,54,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FHFF', 'FHHG']"
1,13,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFH', 'HHFG']"
1,22,0,1.0,0.7887102894272789,"['SFFH', 'FFFF', 'HHFH', 'HFFG']"
1,34,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,15,0,1.0,0.8275513922024125,"['SHHH', 'FHFH', 'FFHF', 'FFFG']"
1,70,0,1.0,0.8814479033836181,"['SFHF', 'FFFF', 'FFHF', 'HHFG']"
1,14,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'HFFG']"
1,76,0,1.0,0.857932408958235,"['SFHH', 'FHHF', 'FFFF', 'HHHG']"
