Temperature,Simulations,Return,Discounted Return,Map
1,25,0,0.0,0.0,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,75,0,1.0,0.93603800616986,"['SFHH', 'FHFH', 'FFFH', 'HFFG']"
1,76,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'HFHF', 'HHFG']"
1,25,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'FFFF', 'FHFG']"
1,5,0,1.0,0.8275513922024125,"['SFHH', 'FFHF', 'FFFH', 'FFFG']"
1,5,0,0.0,0.0,"['SFFF', 'FHFH', 'FFFF', 'HHFG']"
1,11,0,0.0,0.0,"['SFFF', 'FHFF', 'HHFH', 'HFFG']"
1,97,0,1.0,0.9733217421754432,"['SFHH', 'FFHF', 'HFFH', 'HHFG']"
1,27,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HFFG']"
1,38,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFH', 'HFFG']"
1,25,0,1.0,0.8788035596734672,"['SHHF', 'FFFF', 'FFHF', 'HFFG']"
1,28,0,1.0,0.9674905716180701,"['SHHF', 'FHFH', 'FFFH', 'FFFG']"
1,59,0,1.0,0.8176653739626438,"['SFFH', 'HFHF', 'HFFF', 'HHHG']"
1,66,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'FHHG']"
1,80,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FFHF', 'FFHG']"
1,15,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'FFHG']"
1,65,0,1.0,0.9276389118674717,"['SFFH', 'FHFH', 'HFFH', 'HHFG']"
1,5,0,0.0,0.0,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,11,0,1.0,0.9165572373164391,"['SFHF', 'FFHF', 'FFHH', 'FFFG']"
1,55,0,1.0,0.9220814271464737,"['SFFH', 'FHFH', 'HHFH', 'HHFG']"
1,19,0,1.0,0.9416796087056153,"['SFFF', 'HFHF', 'HHFF', 'FHFG']"
1,49,0,1.0,0.9445131481500655,"['SFHF', 'FFFF', 'FHFF', 'FHFG']"
1,38,0,1.0,0.7887102894272789,"['SHFF', 'FFFH', 'HFFH', 'FHFG']"
1,21,0,1.0,0.93603800616986,"['SFFH', 'FFFH', 'HHFH', 'FFFG']"
1,83,0,1.0,0.93603800616986,"['SFFH', 'HFHH', 'HFHF', 'FFFG']"
1,79,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHH', 'FFFG']"
1,64,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFF', 'HHHG']"
1,61,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'HFFF', 'FFFG']"
1,43,0,1.0,0.90289112180858,"['SFFH', 'HHFH', 'HFFF', 'HHHG']"
1,71,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'FFFF', 'HFHG']"
1,7,0,1.0,0.857932408958235,"['SFFH', 'FFHF', 'FFFH', 'FFFG']"
1,15,0,1.0,0.7607805594527743,"['SFHF', 'HFHF', 'HFFH', 'HFFG']"
1,40,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFH', 'FHFG']"
1,96,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'FHFF', 'FFHG']"
1,47,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'HFFF', 'FHFG']"
1,27,0,1.0,0.9733217421754432,"['SFFF', 'HFHH', 'FFFF', 'HFFG']"
1,13,0,0.0,0.0,"['SHFH', 'FHFF', 'FFHH', 'HFFG']"
1,14,0,1.0,0.9304302024748964,"['SFFF', 'FHFF', 'HHHF', 'FHFG']"
1,71,0,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'FHFF', 'FFHG']"
1,70,0,1.0,0.8176653739626438,"['SFHH', 'FHHF', 'FFFF', 'FHFG']"
1,92,0,1.0,0.9473552137914398,"['SHHH', 'FFFH', 'HFFH', 'HFFG']"
1,17,0,1.0,0.93603800616986,"['SFFH', 'FHFF', 'FHFF', 'FFHG']"
1,58,0,1.0,0.9559328248389055,"['SHHH', 'FFHH', 'FHHH', 'FFFG']"
1,61,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHH', 'HFFG']"
1,35,0,1.0,0.8502341582884777,"['SFHF', 'HFHH', 'HFHF', 'FFFG']"
1,87,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFHH', 'FFFG']"
1,51,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HHHF', 'FFFG']"
1,66,0,1.0,0.8176653739626438,"['SFFH', 'HHFF', 'HHFH', 'HHFG']"
1,16,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'FFFF', 'HHFG']"
1,45,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FHHG']"
1,54,0,1.0,0.9821344612135428,"['SFHF', 'FFHF', 'HFFF', 'FFFG']"
1,94,0,1.0,0.985089730404757,"['SHHH', 'FHHH', 'FHFH', 'FFFG']"
1,8,0,1.0,0.8502341582884777,"['SFFH', 'FHFF', 'FFFF', 'HHFG']"
1,31,0,1.0,0.7562227231210928,"['SFHF', 'FFHH', 'HFFF', 'HHFG']"
1,85,0,1.0,0.9704017769489168,"['SFHH', 'FFFH', 'FFFF', 'HHFG']"
1,45,0,0.0,0.0,"['SFHF', 'HFHF', 'FFHH', 'HFFG']"
