Temperature,Simulations,Return,Discounted Return,Map
1,12,0,1.0,0.837556937769312,"['SFHF', 'FFHH', 'FFFF', 'HFFG']"
1,34,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'HFFG']"
1,59,0,1.0,0.9304302024748964,"['SFHH', 'FFFH', 'HHFF', 'FFFG']"
1,48,0,1.0,0.9193151828650342,"['SFHF', 'FFFF', 'HFFF', 'HHHG']"
1,26,0,1.0,0.9588092525966956,"['SFFH', 'FFHF', 'FHFH', 'FFFG']"
1,35,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'HFFF', 'HFFG']"
1,27,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FHHG']"
1,50,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'FHHF', 'HHFG']"
1,18,0,1.0,0.9704017769489168,"['SFHF', 'FFHH', 'FFHF', 'FFFG']"
1,7,0,1.0,0.9110661429076764,"['SFFF', 'FHFF', 'FHHF', 'HFHG']"
1,1,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFFF', 'FFFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFF', 'HHFG']"
1,63,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FHFH', 'FFFG']"
1,50,0,1.0,0.9445131481500655,"['SFFF', 'HHFF', 'HFFH', 'FHFG']"
1,20,0,0.0,0.0,"['SFFF', 'HFHF', 'HFFH', 'FHFG']"
1,7,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'FFHG']"
1,34,0,1.0,0.9416796087056153,"['SFFF', 'FFHH', 'FFFF', 'FFHG']"
1,23,0,1.0,0.9220814271464737,"['SFHF', 'FHHF', 'FFHF', 'HFFG']"
1,25,0,1.0,0.8127667407072335,"['SFHF', 'HFFF', 'FHHF', 'HFHG']"
1,82,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FFFH', 'FFFG']"
1,77,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHHF', 'HFFG']"
1,24,0,1.0,0.9473552137914398,"['SFHH', 'HFFH', 'HFFF', 'HFHG']"
1,64,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'FFHF', 'FFHG']"
1,51,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'FHHG']"
1,40,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'HFFG']"
1,40,0,1.0,0.9704017769489168,"['SHHF', 'FHHF', 'FHFH', 'FFFG']"
1,56,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'HFFF', 'FHHG']"
1,39,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHHF', 'HHFG']"
1,86,0,1.0,0.9645880999032158,"['SFFF', 'FHFH', 'HHFF', 'HHFG']"
1,27,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFH', 'HFFG']"
1,69,0,1.0,0.835044266956004,"['SFFH', 'HFFH', 'HHFH', 'FFFG']"
1,5,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'HHFG']"
1,98,0,1.0,0.9762504936564125,"['SFHF', 'HFHF', 'FFHH', 'FFFG']"
1,15,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'FHFG']"
1,12,0,1.0,0.9388545698794984,"['SFHH', 'FFHF', 'FFFF', 'FFFG']"
1,80,0,1.0,0.9445131481500655,"['SFFH', 'HFFH', 'FHFF', 'FHHG']"
1,72,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FFHG']"
1,28,0,1.0,0.8176653739626438,"['SHHH', 'FHFF', 'FHFH', 'FFFG']"
1,65,0,1.0,0.9332298921513504,"['SHHF', 'FFFH', 'FHFF', 'HFFG']"
1,54,0,1.0,0.884100203995605,"['SFHH', 'FHFF', 'FFFF', 'HHFG']"
1,39,0,1.0,0.9674905716180701,"['SFHF', 'FHHH', 'FFHH', 'FFFG']"
1,51,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'HHFH', 'HFFG']"
1,35,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HFFG']"
1,70,0,1.0,0.835044266956004,"['SFFF', 'HFHH', 'FFFH', 'FHFG']"
1,73,0,1.0,0.93603800616986,"['SFFH', 'HFFF', 'HFHF', 'FFHG']"
1,35,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFH', 'HHFG']"
1,23,0,1.0,0.8921050870283477,"['SFHH', 'HFFF', 'HHFF', 'HFFG']"
1,82,0,1.0,0.9473552137914398,"['SFFF', 'HFHH', 'FFFH', 'FHFG']"
1,29,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHH', 'FFFG']"
1,47,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'FHFF', 'FHFG']"
1,87,0,1.0,0.9502058312852957,"['SFHF', 'HFHH', 'HFFF', 'FHFG']"
1,22,0,1.0,0.8426049842298329,"['SHFH', 'FFFF', 'FHFF', 'HFFG']"
1,73,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHHF', 'HFFG']"
1,22,0,1.0,0.8814479033836181,"['SFFH', 'FFFH', 'HFFF', 'FHHG']"
1,2,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FFFF', 'FFFG']"
1,17,0,1.0,0.93603800616986,"['SFFH', 'FFHF', 'FFHF', 'FFFG']"
1,45,0,1.0,0.8631032605924442,"['SFFH', 'FFFH', 'HFHH', 'FFFG']"
1,37,0,1.0,0.9193151828650342,"['SFFF', 'HHFF', 'FHFH', 'HFFG']"
1,99,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FFFF', 'FHFG']"
1,78,0,1.0,0.9588092525966956,"['SFFF', 'FHHH', 'FHHH', 'FFFG']"
1,18,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FHFF', 'HHFG']"
1,68,0,1.0,0.9674905716180701,"['SFHH', 'FHFF', 'FFFF', 'HFFG']"
1,85,0,1.0,0.90289112180858,"['SHFF', 'FHFF', 'FHHH', 'FFFG']"
1,28,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'HHFG']"
1,60,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFH', 'FHFG']"
1,56,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HFHG']"
1,56,0,1.0,0.9110661429076764,"['SFHF', 'FFHF', 'HFFF', 'HHHG']"
1,28,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'HHHF', 'HHHG']"
1,9,0,0.0,0.0,"['SHFH', 'FFFH', 'FHHH', 'FFFG']"
1,66,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FFHH', 'FFFG']"
1,98,0,1.0,0.9616943356035061,"['SHFH', 'FFFH', 'HHFH', 'FFFG']"
1,71,0,1.0,0.9674905716180701,"['SHFH', 'FFFH', 'HFFH', 'HFFG']"
1,92,0,1.0,0.9762504936564125,"['SFHF', 'HFFH', 'FFFF', 'FHFG']"
1,12,0,0.0,0.0,"['SFFH', 'HHFH', 'FFFF', 'HFHG']"
1,1,0,0.0,0.0,"['SFFH', 'HHFF', 'FHFH', 'HFFG']"
1,3,0,0.0,0.0,"['SFFF', 'FFFF', 'FFHH', 'FFFG']"
1,49,0,1.0,0.9276389118674717,"['SHHH', 'FFFF', 'FHFH', 'FFFG']"
1,53,0,1.0,0.9733217421754432,"['SHFH', 'FHFH', 'FFFF', 'FFFG']"
1,41,0,1.0,0.9445131481500655,"['SFHF', 'HFFF', 'HFHF', 'HHFG']"
1,41,0,1.0,0.8974819010978248,"['SFFF', 'FFHH', 'HFHH', 'FFFG']"
1,69,0,1.0,0.9762504936564125,"['SFFF', 'FHHH', 'FFFF', 'HFFG']"
1,54,0,1.0,0.9332298921513504,"['SFHH', 'FHFH', 'FFFF', 'HFFG']"
1,71,0,1.0,0.9588092525966956,"['SFFF', 'HHHF', 'HFFF', 'FHFG']"
1,5,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'HFHG']"
1,55,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'FFHH', 'HFFG']"
1,41,0,1.0,0.9276389118674717,"['SFFH', 'HFFF', 'HFHF', 'FFHG']"
1,69,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FFFG']"
1,22,0,1.0,0.9083329444789534,"['SFFH', 'FHFF', 'FFFF', 'FFHG']"
1,42,0,1.0,0.9502058312852957,"['SFFH', 'HHFH', 'HFFF', 'HHFG']"
1,22,0,0.0,0.0,"['SFHF', 'FFHF', 'HFHH', 'FFFG']"
1,87,0,1.0,0.985089730404757,"['SFHH', 'FFHF', 'FFFF', 'HFFG']"
1,70,0,1.0,0.9588092525966956,"['SFFF', 'HHHF', 'FFHF', 'FHFG']"
1,34,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFF', 'HFHG']"
1,22,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFF', 'FHHG']"
1,48,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'FHHF', 'FFFG']"
1,74,0,1.0,0.9762504936564125,"['SFFH', 'HFHF', 'HFFF', 'HFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FHFH', 'FHFF', 'FFFG']"
1,72,0,1.0,0.9616943356035061,"['SFFH', 'FFHH', 'HFHH', 'HFFG']"
1,93,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'FFFF', 'HHHG']"
1,39,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FFFH', 'FFFG']"
1,29,0,1.0,0.9704017769489168,"['SFFH', 'HHFF', 'FHFF', 'HHFG']"
1,63,0,1.0,0.985089730404757,"['SHFH', 'FHHH', 'FFFF', 'FFFG']"
1,12,0,1.0,0.9083329444789534,"['SFHF', 'HFHH', 'FFFF', 'FFFG']"
1,1,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'HHFG']"
1,14,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'HFHG']"
1,72,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FHHF', 'FHFG']"
1,72,0,1.0,0.9502058312852957,"['SFFF', 'HFHH', 'HFFF', 'HFFG']"
1,34,0,1.0,0.90289112180858,"['SHHH', 'FHFF', 'FFFF', 'HHFG']"
1,16,0,1.0,0.9388545698794984,"['SHFH', 'FFFH', 'FFHH', 'FFFG']"
1,83,0,1.0,0.9674905716180701,"['SFFF', 'FFHH', 'HFFH', 'FHFG']"
1,48,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HHFH', 'FFFG']"
1,18,0,1.0,0.8275513922024125,"['SFHH', 'FFHH', 'HFFH', 'FFFG']"
1,87,0,1.0,0.8947894553945313,"['SFFH', 'HFFH', 'HFHH', 'FFFG']"
1,98,0,1.0,0.9616943356035061,"['SFFH', 'HFHF', 'FFFH', 'FHFG']"
1,13,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FHFG']"
1,39,0,1.0,0.8709180316048211,"['SFFH', 'FFHF', 'FFFF', 'HFHG']"
1,49,0,1.0,0.9530650263643888,"['SFFH', 'FFHH', 'FFFF', 'FFHG']"
1,33,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'FHFF', 'HFFG']"
1,20,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FFHG']"
1,69,0,1.0,0.9530650263643888,"['SFFF', 'FHFF', 'FFFF', 'FHHG']"
1,21,0,0.0,0.0,"['SFHH', 'HFFH', 'FFHH', 'FFFG']"
1,66,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFFF', 'HFHG']"
