Temperature,Simulations,Return,Discounted Return,Map
1,47,0,1.0,0.8451404054461714,"['SFHF', 'FFHF', 'HFFH', 'FHFG']"
1,99,0,1.0,0.8921050870283477,"['SFFH', 'HHFF', 'HHHF', 'FHHG']"
1,47,0,1.0,0.9791880578299021,"['SFFF', 'FHFH', 'FFFF', 'FHFG']"
1,34,0,1.0,0.9616943356035061,"['SFHF', 'HFHH', 'HFFH', 'FFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFH', 'FHFG']"
1,42,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'FHFH', 'FHFG']"
1,97,0,1.0,0.9304302024748964,"['SFFF', 'FHFH', 'FHFF', 'FFHG']"
1,39,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'HHHF', 'FHHG']"
1,3,0,0.0,0.0,"['SFFF', 'FHHH', 'FHHF', 'FFFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFFG']"
1,16,0,1.0,0.9674905716180701,"['SHFF', 'FFFH', 'FFFF', 'FFFG']"
1,40,0,1.0,0.8275513922024125,"['SHHF', 'FFFH', 'HFFF', 'HFHG']"
1,74,0,1.0,0.985089730404757,"['SFFF', 'FHHH', 'FFFF', 'FFFG']"
1,50,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,54,0,1.0,0.90289112180858,"['SFHF', 'FHHF', 'FFFH', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'HFFF', 'FFHG']"
1,70,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'HFFF', 'HHHG']"
1,46,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HFFF', 'FFHG']"
1,74,0,1.0,0.776950406379376,"['SFHH', 'FFFH', 'FHFF', 'HFHG']"
1,76,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'FFHF', 'FFHG']"
1,16,0,0.0,0.0,"['SFFF', 'FFFF', 'HFHH', 'FFFG']"
1,56,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFFF', 'FHFG']"
1,7,0,1.0,0.9138075656044898,"['SHHH', 'FFHH', 'FFFH', 'FFFG']"
1,16,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HHFG']"
1,37,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'FFFF', 'HFFG']"
1,13,0,1.0,0.93603800616986,"['SFFF', 'FFFF', 'FHHF', 'FFHG']"
1,21,0,1.0,0.884100203995605,"['SFFH', 'HHFH', 'FHFF', 'FFFG']"
1,34,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFF', 'FHHG']"
1,48,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHFF', 'HHFG']"
1,16,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HHHG']"
1,22,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'HHFG']"
1,87,0,1.0,0.9304302024748964,"['SHHH', 'FFHH', 'FFFF', 'FFHG']"
1,97,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FFFH', 'FFFG']"
1,31,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'FHHG']"
1,27,0,0.0,0.0,"['SFFH', 'HFHH', 'HFHF', 'HFFG']"
1,99,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FHFH', 'FHFG']"
1,32,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFF', 'FHHG']"
1,36,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'FHFG']"
1,73,0,1.0,0.9502058312852957,"['SFFF', 'HHFH', 'HHFF', 'FFHG']"
1,59,0,1.0,0.9388545698794984,"['SFFH', 'HFFH', 'FFFF', 'HHHG']"
1,96,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'FHFF', 'FFFG']"
1,70,0,1.0,0.8814479033836181,"['SFFH', 'FHHH', 'FFFH', 'FHFG']"
1,36,0,1.0,0.9276389118674717,"['SFFF', 'HFFF', 'HFHH', 'HFFG']"
1,35,0,0.0,0.0,"['SFFF', 'FFHF', 'HFFH', 'FHFG']"
1,90,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'FFFF', 'FFHG']"
1,66,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHFF', 'FFHG']"
1,52,0,1.0,0.9791880578299021,"['SFFH', 'HFHH', 'FFFF', 'HFFG']"
1,75,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FHHF', 'FHHG']"
1,11,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFH', 'HHFG']"
1,43,0,1.0,0.9616943356035061,"['SFHH', 'HFFH', 'HHFF', 'HHFG']"
1,69,0,1.0,0.8657003616774767,"['SFHH', 'FFFF', 'FFHF', 'FHHG']"
1,80,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FHFF', 'HHHG']"
1,75,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'FFHF', 'FHFG']"
1,51,0,1.0,0.9445131481500655,"['SFHF', 'HFHH', 'HFHH', 'FFFG']"
1,65,0,0.0,0.0,"['SHHH', 'FFHH', 'HFHH', 'HFFG']"
1,84,0,1.0,0.9733217421754432,"['SFFH', 'FHFH', 'FFFF', 'FFFG']"
