Temperature,Simulations,Return,Discounted Return,Map
1,91,0,1.0,0.985089730404757,"['SFFH', 'FHHH', 'FFHH', 'FFFG']"
1,14,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'HHHF', 'HFHG']"
1,71,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'FHFF', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SFFH', 'HFHH', 'FFFF', 'HFFG']"
1,30,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FFFF', 'FHFG']"
1,50,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'FHFF', 'HHFG']"
1,22,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FHFG']"
1,66,0,1.0,0.9220814271464737,"['SHHH', 'FHFH', 'FHFH', 'FFFG']"
1,81,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FFFH', 'HHFG']"
1,78,0,1.0,0.9138075656044898,"['SFHF', 'FFFH', 'HHFF', 'FFHG']"
1,60,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FHFH', 'FFFG']"
1,37,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'HFFF', 'HFFG']"
1,57,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FFFF', 'FHHG']"
1,16,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'FFFG']"
1,41,0,1.0,0.9616943356035061,"['SFHF', 'HFFH', 'FFHH', 'FFFG']"
1,60,0,1.0,0.7958514863018556,"['SFFH', 'FFFH', 'FHFF', 'FHHG']"
1,13,0,0.0,0.0,"['SFHF', 'FFFH', 'FHHF', 'FFFG']"
1,13,0,0.0,0.0,"['SFHH', 'HFFH', 'HFFF', 'HFHG']"
1,61,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HFHF', 'FFHG']"
1,25,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FHHG']"
1,3,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HHFG']"
1,18,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'HFHG']"
1,81,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'HFFF', 'FFFG']"
1,59,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHFF', 'FFHG']"
1,14,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFH', 'HFFG']"
1,61,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'HHFF', 'FFFG']"
1,67,0,1.0,0.90289112180858,"['SFFF', 'FHFH', 'HHFF', 'FHHG']"
1,53,0,1.0,0.93603800616986,"['SFHF', 'HFHF', 'HFFH', 'FFFG']"
1,36,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'FFFF', 'FHHG']"
1,49,0,1.0,0.8894287717672626,"['SHHH', 'FFFH', 'HHFF', 'FFFG']"
1,92,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'FFFF', 'FFHG']"
1,41,0,1.0,0.9616943356035061,"['SFFH', 'HFFH', 'FFFH', 'HFFG']"
1,14,0,0.0,0.0,"['SHHF', 'FHHH', 'FFHH', 'HFFG']"
1,33,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FFFH', 'FFFG']"
1,37,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'FHHF', 'HFFG']"
1,63,0,1.0,0.9056079456455165,"['SFHH', 'HFHF', 'FFFF', 'FHHG']"
1,2,0,0.0,0.0,"['SFFF', 'FFFH', 'FFFH', 'FHFG']"
1,100,0,1.0,0.9056079456455165,"['SHFF', 'FFHH', 'FFFH', 'HHFG']"
1,49,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HHFF', 'FHFG']"
1,45,0,1.0,0.9530650263643888,"['SFFF', 'HFHF', 'FHHF', 'HHHG']"
1,6,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHF', 'HFFG']"
1,30,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'HHHG']"
