Temperature,Simulations,Return,Discounted Return,Map
1,56,0,1.0,0.8894287717672626,"['SHHF', 'FFFF', 'FFHF', 'HHHG']"
1,62,0,1.0,0.9704017769489168,"['SFHH', 'FFHF', 'FFFF', 'HFFG']"
1,35,0,1.0,0.9276389118674717,"['SFHF', 'FFFF', 'HFFH', 'HFFG']"
1,23,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FFFH', 'HFFG']"
1,99,0,1.0,0.9762504936564125,"['SHFH', 'FFFH', 'FFFH', 'HFFG']"
1,40,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FFFF', 'FFFG']"
1,40,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'HFFF', 'FHFG']"
1,9,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HHFG']"
1,64,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'FHFF', 'FHHG']"
1,84,0,1.0,0.985089730404757,"['SFHH', 'HFFH', 'HFFH', 'HHFG']"
1,69,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'HFFG']"
1,22,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHF', 'HFFG']"
1,75,0,1.0,0.9616943356035061,"['SFHF', 'FFFH', 'FFHH', 'FFFG']"
1,38,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'FFHF', 'FFFG']"
1,47,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'HHFF', 'FFFG']"
1,59,0,1.0,0.9674905716180701,"['SHFH', 'FFFF', 'FHFF', 'FHFG']"
1,35,0,1.0,0.9821344612135428,"['SHFH', 'FFFH', 'FFFF', 'HFFG']"
1,8,0,1.0,0.9304302024748964,"['SFFF', 'FHHF', 'HHHF', 'HHHG']"
1,85,0,1.0,0.9645880999032158,"['SFHH', 'FHFH', 'FHFH', 'FFFG']"
1,97,0,1.0,0.9193151828650342,"['SFHH', 'FFFF', 'FHHF', 'HHFG']"
1,75,0,1.0,0.9616943356035061,"['SHHH', 'FFFH', 'HHFF', 'FHFG']"
1,62,0,1.0,0.9110661429076764,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,96,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'FHFG']"
1,5,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'FHFG']"
1,83,0,1.0,0.9616943356035061,"['SHFF', 'FFFF', 'HFHH', 'FFFG']"
1,73,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'FHHG']"
1,91,0,1.0,0.9332298921513504,"['SFHF', 'HFHH', 'FFHH', 'FFFG']"
1,38,0,1.0,0.8788035596734672,"['SFHF', 'FFFF', 'FFFH', 'HHFG']"
