Temperature,Simulations,Return,Discounted Return,Map
1,96,0,1.0,0.985089730404757,"['SFHH', 'FFHH', 'FFFF', 'HFHG']"
1,10,0,1.0,0.9645880999032158,"['SFHH', 'FFFH', 'FHFF', 'FFFG']"
1,62,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'HHHF', 'HHFG']"
1,20,0,1.0,0.9588092525966956,"['SFHF', 'FFFH', 'FFFF', 'FFHG']"
1,69,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'FFHG']"
1,35,0,1.0,0.9733217421754432,"['SFHH', 'FFHF', 'FFFF', 'FFFG']"
1,42,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFHF', 'HFFG']"
1,79,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'FFFF', 'HHFG']"
1,83,0,1.0,0.9416796087056153,"['SFFF', 'FHHF', 'FHHF', 'HHHG']"
1,88,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'HHFG']"
1,74,0,1.0,0.9388545698794984,"['SHFH', 'FFFF', 'HHFH', 'FHFG']"
1,30,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'HFFH', 'FFFG']"
1,100,0,1.0,0.9616943356035061,"['SHFF', 'FFFH', 'HFHH', 'HFFG']"
1,83,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFF', 'HHHF', 'HHHF', 'HFHG']"
1,60,0,1.0,0.9530650263643888,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,22,0,1.0,0.7539540549517295,"['SFHH', 'HFFH', 'HFFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFH', 'FHFG']"
1,73,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFHF', 'HHFG']"
1,67,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'HHFH', 'HFFG']"
1,91,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'FFFG']"
1,41,0,0.0,0.0,"['SFFH', 'FFFH', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFHH', 'FFFF', 'HHHG']"
1,24,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'HHFF', 'FHFG']"
1,50,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'HHFF', 'HHHG']"
1,53,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHHF', 'FFFG']"
1,81,0,1.0,0.9762504936564125,"['SFFH', 'HHFH', 'HFFF', 'FFFG']"
1,70,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFHF', 'HHHG']"
1,40,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HHFH', 'HFFG']"
1,55,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHHF', 'HHHG']"
1,64,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FHHF', 'FFFG']"
1,69,0,1.0,0.7653658663581259,"['SHHF', 'FHHF', 'FFFF', 'FHHG']"
1,70,0,1.0,0.9445131481500655,"['SFFF', 'HHHF', 'FHHF', 'HHHG']"
1,75,0,1.0,0.9645880999032158,"['SFFF', 'FHHH', 'FFHF', 'FFFG']"
1,6,0,1.0,0.8400771692771434,"['SFFF', 'FFFH', 'FFFF', 'FHFG']"
1,91,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFFF', 'FFHG']"
1,75,0,1.0,0.9502058312852957,"['SFFH', 'FFFH', 'FFFH', 'FHFG']"
1,72,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FFFF', 'FHHG']"
1,25,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'HHFG']"
