Temperature,Simulations,Return,Discounted Return,Map
1,26,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'HHFG']"
1,76,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'FHHF', 'FHHG']"
1,36,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'HFHF', 'FHHG']"
1,71,0,1.0,0.9248559951318693,"['SFFH', 'HHFF', 'HFFF', 'HFHG']"
1,56,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FHFF', 'FHFG']"
1,35,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'FFFF', 'HFFG']"
1,51,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FFHH', 'FFFG']"
1,58,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HFFF', 'HFHG']"
1,23,0,0.0,0.0,"['SFHH', 'FFHH', 'FHFF', 'FFFG']"
1,9,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFF', 'FFHG']"
1,20,0,1.0,0.8476834558136123,"['SFHH', 'FFHF', 'HFFH', 'HFFG']"
1,8,0,1.0,0.7816331707050701,"['SFFF', 'FFFF', 'HFFH', 'HFFG']"
1,18,0,0.0,0.0,"['SFFH', 'HHFF', 'HFHF', 'HHHG']"
1,56,0,1.0,0.9416796087056153,"['SHHF', 'FFFF', 'FFFF', 'HHFG']"
1,87,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'HFFH', 'HFFG']"
1,22,0,1.0,0.8527925358961662,"['SFHH', 'HFHH', 'FFHF', 'FFFG']"
1,33,0,1.0,0.8894287717672626,"['SFFF', 'FFHF', 'HFHF', 'HHFG']"
1,69,0,1.0,0.9304302024748964,"['SHFH', 'FFFH', 'HFFF', 'HHFG']"
1,28,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFH', 'HHFG']"
1,71,0,1.0,0.9821344612135428,"['SFFH', 'FFHF', 'HFFH', 'HFFG']"
1,11,0,1.0,0.90289112180858,"['SFFH', 'FFFF', 'HFHF', 'HHFG']"
1,12,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'HFHG']"
1,73,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFH', 'FHFG']"
1,10,0,0.0,0.0,"['SFHH', 'FHFF', 'FFHH', 'FFFG']"
1,70,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'HHFG']"
1,61,0,1.0,0.884100203995605,"['SHFF', 'FFFF', 'FFHH', 'HFFG']"
1,75,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHFF', 'FHHG']"
1,49,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'FHFF', 'HFHG']"
1,45,0,1.0,0.9388545698794984,"['SFFH', 'HHFH', 'FFFF', 'FHHG']"
1,59,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'HHFF', 'HHHG']"
1,64,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FFFH', 'FHFG']"
1,92,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FFFH', 'HHFG']"
1,67,0,1.0,0.985089730404757,"['SHHF', 'FHFH', 'FFFF', 'FFFG']"
1,40,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,75,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HFFF', 'FHHG']"
1,86,0,1.0,0.9674905716180701,"['SFHH', 'HFHF', 'FFFF', 'HFHG']"
1,49,0,1.0,0.8867604854519608,"['SHFF', 'FFFF', 'HFHF', 'FHFG']"
1,41,0,1.0,0.9304302024748964,"['SFFF', 'HFFH', 'HHFH', 'HHFG']"
1,80,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'HFFH', 'HFFG']"
