Temperature,Simulations,Return,Discounted Return,Map
1,98,0,1.0,0.803057341509771,"['SFFH', 'HFHH', 'FFFH', 'HHFG']"
1,11,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HFFG']"
1,36,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHH', 'FFFG']"
1,53,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FHFH', 'FFFG']"
1,95,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'HFFF', 'FHHG']"
1,7,0,0.0,0.0,"['SFFF', 'HFFF', 'HFFH', 'FHFG']"
1,17,0,1.0,0.9559328248389055,"['SHHH', 'FHHF', 'FHFF', 'FFFG']"
1,84,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'FFFF', 'FFFG']"
1,83,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFHG']"
1,95,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'FHHF', 'FFFG']"
1,30,0,1.0,0.9056079456455165,"['SFFF', 'FFHF', 'HFFH', 'FFFG']"
1,100,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'FFHF', 'FFHG']"
1,76,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HFHF', 'HHFG']"
1,42,0,1.0,0.7630697687590515,"['SHHH', 'FHFH', 'FHHH', 'FFFG']"
1,31,0,1.0,0.9559328248389055,"['SHHH', 'FHFF', 'FHHF', 'FFFG']"
1,85,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFHF', 'FHHG']"
1,61,0,1.0,0.8451404054461714,"['SFFF', 'HHFH', 'HFFF', 'HHHG']"
1,11,0,1.0,0.9502058312852957,"['SFFH', 'FHFF', 'HFFF', 'FHFG']"
1,5,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFF', 'HHFG']"
1,86,0,1.0,0.9502058312852957,"['SFFH', 'HHFH', 'FFFF', 'HFFG']"
1,3,0,1.0,0.90289112180858,"['SFFF', 'HFHF', 'HFHF', 'HFFG']"
1,47,0,1.0,0.9332298921513504,"['SHFH', 'FFFF', 'FFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HHHG']"
1,43,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'FHHH', 'FFFG']"
1,78,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FHHF', 'FFFG']"
1,23,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFF', 'HFHG']"
1,85,0,1.0,0.9616943356035061,"['SHHH', 'FFFH', 'HFFH', 'HHFG']"
1,58,0,1.0,0.8894287717672626,"['SFFH', 'HHFF', 'HFHF', 'FFFG']"
1,51,0,1.0,0.8502341582884777,"['SFHH', 'FHHF', 'FFFF', 'HHFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFH', 'HFFH', 'HFFG']"
1,91,0,1.0,0.9704017769489168,"['SFFF', 'FHFH', 'HFFF', 'HHHG']"
1,55,0,1.0,0.9304302024748964,"['SHHF', 'FFHF', 'FFFF', 'HFHG']"
1,90,0,1.0,0.9304302024748964,"['SFFH', 'FFFH', 'HFHF', 'FFFG']"
1,27,0,1.0,0.884100203995605,"['SHHF', 'FFFF', 'HFHF', 'FHFG']"
1,25,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HFHG']"
1,90,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'HFFH', 'HFFG']"
1,53,0,1.0,0.78398512608332,"['SFHH', 'HFHH', 'FFHF', 'HFFG']"
1,81,0,1.0,0.9762504936564125,"['SFHH', 'HFFH', 'HFFF', 'HFFG']"
1,95,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'HFHF', 'FHHG']"
1,57,0,1.0,0.8502341582884777,"['SFFH', 'FFFH', 'HHFF', 'HHHG']"
1,78,0,1.0,0.9791880578299021,"['SHHH', 'FFHH', 'FFFF', 'FFFG']"
1,61,0,0.0,0.0,"['SHFF', 'FHFF', 'FFHF', 'HFFG']"
1,82,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'FHFH', 'HHFG']"
1,25,0,1.0,0.93603800616986,"['SFHF', 'HFFF', 'FFFF', 'HFFG']"
1,31,0,1.0,0.9001824484431542,"['SFHF', 'FFFF', 'HHHF', 'FFFG']"
1,75,0,1.0,0.8761671489944468,"['SFHH', 'FFFH', 'FHFF', 'FHHG']"
1,33,0,1.0,0.9416796087056153,"['SFFH', 'FHFF', 'HFFH', 'HFFG']"
1,91,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'FHFG']"
1,66,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFHF', 'HHFG']"
1,87,0,1.0,0.8683052775100066,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,63,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'FFFH', 'FHFG']"
