Temperature,Simulations,Return,Discounted Return,Map
1,69,0,1.0,0.8921050870283477,"['SFFH', 'FHFF', 'FHFH', 'FHFG']"
1,29,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'FFFF', 'FFHG']"
1,98,0,1.0,0.9473552137914398,"['SHFF', 'FFFH', 'HHFF', 'FHFG']"
1,72,0,1.0,0.9762504936564125,"['SFHH', 'HFHF', 'FFFF', 'FFFG']"
1,23,0,1.0,0.9304302024748964,"['SFFF', 'HHHF', 'HHHF', 'HHFG']"
1,98,0,1.0,0.9220814271464737,"['SFHF', 'HFFF', 'HFHF', 'HHFG']"
1,35,0,1.0,0.9001824484431542,"['SHHH', 'FFHH', 'FFFH', 'HFFG']"
1,86,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'HHFF', 'FFHG']"
1,92,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'FFFF', 'FFFG']"
1,53,0,1.0,0.9530650263643888,"['SHHH', 'FFFF', 'FHFF', 'FHFG']"
1,83,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HFFG']"
1,46,0,0.0,0.0,"['SHHF', 'FFHH', 'FFHH', 'HFFG']"
1,26,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFH', 'HHFG']"
1,73,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HFHF', 'HFFG']"
1,57,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FFFF', 'HFFG']"
1,51,0,1.0,0.9165572373164391,"['SFFH', 'FFHH', 'HFHH', 'HFFG']"
1,53,0,1.0,0.9416796087056153,"['SFFF', 'HHFH', 'HHFF', 'HFHG']"
1,20,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'FHFF', 'FHFG']"
1,5,0,0.0,0.0,"['SFFH', 'HHFH', 'HFFF', 'HHHG']"
1,38,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'HHFF', 'FFFG']"
1,68,0,1.0,0.9821344612135428,"['SHFH', 'FFFH', 'FFFH', 'FHFG']"
1,60,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FFHF', 'FFFG']"
1,78,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FFFH', 'FFFG']"
1,80,0,0.0,0.0,"['SHHH', 'FFHH', 'HFHH', 'FFFG']"
1,99,0,1.0,0.9674905716180701,"['SFFF', 'FHHH', 'FFFF', 'HHFG']"
1,74,0,1.0,0.9674905716180701,"['SFFF', 'HHHF', 'FHHF', 'HHFG']"
1,42,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'FHFF', 'HFFG']"
1,95,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FHFF', 'HFHG']"
1,15,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFH', 'FHFG']"
1,43,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'HHHF', 'HFHG']"
1,36,0,1.0,0.8974819010978248,"['SHFH', 'FFFF', 'HHFF', 'HHFG']"
1,92,0,1.0,0.9616943356035061,"['SFHF', 'FHHH', 'FFFF', 'FHFG']"
1,99,0,1.0,0.9704017769489168,"['SFFF', 'HFHH', 'FFFF', 'FHFG']"
