Temperature,Simulations,Return,Discounted Return,Map
1,70,0,1.0,0.857932408958235,"['SFFF', 'FHFH', 'HHFH', 'FFFG']"
1,59,0,1.0,0.9645880999032158,"['SFFF', 'HHFH', 'HHFF', 'FHHG']"
1,63,0,1.0,0.9674905716180701,"['SFHF', 'HFHH', 'FFFH', 'HFFG']"
1,8,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFF', 'FFHG']"
1,20,0,1.0,0.8921050870283477,"['SHFF', 'FFFH', 'FHFF', 'FFFG']"
1,54,0,1.0,0.9248559951318693,"['SFHF', 'HFHH', 'HFHF', 'FFFG']"
1,54,0,1.0,0.8814479033836181,"['SFFH', 'HHFF', 'FHHF', 'HHFG']"
1,44,0,1.0,0.9220814271464737,"['SHFH', 'FFFF', 'HFHF', 'HFFG']"
1,68,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'HFFF', 'HFFG']"
1,78,0,1.0,0.93603800616986,"['SHHH', 'FFHH', 'HFHH', 'FFFG']"
1,83,0,1.0,0.9559328248389055,"['SFHH', 'FFHF', 'FFFF', 'HHHG']"
1,91,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HHHF', 'HHHG']"
1,69,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHHF', 'HFFG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFHF', 'HHHG']"
1,61,0,1.0,0.9791880578299021,"['SFHH', 'FFHF', 'FFFF', 'HFHG']"
1,86,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HHHG']"
1,45,0,1.0,0.9559328248389055,"['SFFH', 'HFFH', 'FFHH', 'HFFG']"
1,56,0,1.0,0.860513950810667,"['SHFH', 'FHHH', 'FFFF', 'FFHG']"
1,67,0,1.0,0.9276389118674717,"['SHFF', 'FFFF', 'FFHF', 'HHFG']"
1,14,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'FHFG']"
1,85,0,1.0,0.9733217421754432,"['SHHH', 'FHHF', 'FHHF', 'FFFG']"
1,50,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'FHFH', 'FFFG']"
1,22,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFH', 'HHFG']"
1,88,0,1.0,0.9704017769489168,"['SFHF', 'FFHF', 'FFFF', 'HFHG']"
1,56,0,1.0,0.985089730404757,"['SHHH', 'FHFH', 'FFHF', 'HFFG']"
