Temperature,Simulations,Return,Discounted Return,Map
1,61,0,1.0,0.9445131481500655,"['SFFH', 'FFFH', 'HHFF', 'FFHG']"
1,77,0,1.0,0.9674905716180701,"['SFHH', 'HFFH', 'FHFF', 'HHFG']"
1,3,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFH', 'FFFG']"
1,50,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFH', 'FHFG']"
1,68,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'FFFG']"
1,9,0,0.0,0.0,"['SFHH', 'HFFF', 'FFFF', 'FHHG']"
1,68,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'FFHG']"
1,52,0,1.0,0.8814479033836181,"['SHFH', 'FHFH', 'FFHF', 'HFFG']"
1,59,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'HHHG']"
1,53,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'HHFF', 'FHFG']"
1,26,0,1.0,0.7584982177744161,"['SFFH', 'FHFH', 'FFFF', 'HFHG']"
1,51,0,1.0,0.9616943356035061,"['SFFH', 'FHFH', 'HFFF', 'HFHG']"
1,46,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHH', 'HFFG']"
1,69,0,1.0,0.9733217421754432,"['SHFH', 'FFFF', 'FFFF', 'HHHG']"
1,17,0,1.0,0.9674905716180701,"['SFFF', 'HHFH', 'HHFF', 'HHFG']"
1,26,0,0.0,0.0,"['SFHH', 'HFHF', 'HFHF', 'HFFG']"
1,64,0,1.0,0.8921050870283477,"['SFFF', 'HHFH', 'HFFH', 'HFFG']"
1,96,0,1.0,0.9733217421754432,"['SHHF', 'FHHF', 'FFHH', 'FFFG']"
1,67,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HFFF', 'HFHG']"
1,36,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'FFFG']"
1,43,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'HFFG']"
1,27,0,1.0,0.8527925358961662,"['SFFF', 'FHFH', 'FHFF', 'FHFG']"
1,98,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'HFHF', 'HFFG']"
1,8,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHF', 'FFHG']"
1,74,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FFFF', 'HFFG']"
