Temperature,Simulations,Return,Discounted Return,Map
1,36,0,1.0,0.9304302024748964,"['SFHH', 'HFHH', 'FFHF', 'FFFG']"
1,9,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFF', 'HFFG']"
1,52,0,1.0,0.9193151828650342,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,25,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'FHHG']"
1,89,0,1.0,0.9674905716180701,"['SFHF', 'FHFH', 'FFFH', 'FFFG']"
1,38,0,1.0,0.93603800616986,"['SHFF', 'FFHH', 'HFFH', 'FFFG']"
1,60,0,1.0,0.9530650263643888,"['SFFH', 'HFFF', 'FHFH', 'HFFG']"
1,75,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHFH', 'FHFG']"
1,63,0,1.0,0.9762504936564125,"['SFFH', 'FHHF', 'FFHH', 'FFFG']"
1,46,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FFFH', 'HFFG']"
1,24,0,1.0,0.776950406379376,"['SFHF', 'FHHH', 'FHFH', 'FFFG']"
1,21,0,1.0,0.9165572373164391,"['SFFF', 'FHHF', 'FHFF', 'FFFG']"
1,81,0,1.0,0.9559328248389055,"['SFHF', 'FHFF', 'FFFH', 'FHFG']"
1,41,0,1.0,0.9276389118674717,"['SHHH', 'FHHH', 'FHFH', 'FFFG']"
1,78,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'HFHF', 'HFFG']"
1,51,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'HFFG']"
1,79,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'HFFF', 'HHHG']"
1,98,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FFHG']"
1,92,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'FHFF', 'FFFG']"
1,64,0,1.0,0.9502058312852957,"['SHFF', 'FHFH', 'FFFH', 'HFFG']"
1,28,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'FHHG']"
1,88,0,1.0,0.9304302024748964,"['SFHF', 'HFFF', 'FHFF', 'FHHG']"
1,70,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HHFF', 'FHFG']"
1,34,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHH', 'FFFG']"
1,92,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'HFFF', 'HFFG']"
1,24,0,1.0,0.9388545698794984,"['SFFH', 'FFFF', 'FHFF', 'HHHG']"
1,47,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'FFHF', 'HFFG']"
1,62,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'FFHF', 'HHHG']"
1,78,0,1.0,0.8974819010978248,"['SFHH', 'HFFH', 'HHFH', 'FFFG']"
1,88,0,1.0,0.9674905716180701,"['SFFH', 'FFHH', 'FFFF', 'FFHG']"
1,12,0,0.0,0.0,"['SFFH', 'FFHH', 'FFFH', 'FHFG']"
1,40,0,1.0,0.9645880999032158,"['SFHH', 'FHHF', 'FHFH', 'FFFG']"
1,14,0,1.0,0.8152123778407558,"['SFFH', 'HHFF', 'FHHF', 'HHHG']"
1,69,0,1.0,0.9588092525966956,"['SHHF', 'FHHH', 'FFFF', 'HFFG']"
1,73,0,1.0,0.835044266956004,"['SFFF', 'HHFH', 'FFFF', 'HFHG']"
1,24,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'HFFF', 'HFFG']"
1,10,0,1.0,0.8006481694852418,"['SFHH', 'HFFF', 'HHFF', 'FFFG']"
1,99,0,1.0,0.8657003616774767,"['SFHF', 'HFFF', 'HFHH', 'FFFG']"
1,53,0,1.0,0.9388545698794984,"['SFFH', 'FHFF', 'FFFF', 'FFHG']"
1,39,0,1.0,0.9193151828650342,"['SHFF', 'FFHH', 'HFFF', 'FFFG']"
1,43,0,1.0,0.837556937769312,"['SHFF', 'FFHH', 'FFFF', 'FFHG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFH', 'FFFG']"
1,53,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'FHHG']"
1,49,0,1.0,0.9248559951318693,"['SFFF', 'HFHF', 'HHFF', 'HHFG']"
1,17,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'HHFF', 'HFFG']"
1,76,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HFHG']"
1,99,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FFHG']"
1,24,0,1.0,0.7449472384453084,"['SFFH', 'FHFH', 'HFFF', 'FFHG']"
1,49,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHF', 'HFFG']"
1,26,0,0.0,0.0,"['SHHH', 'FFHF', 'FHFH', 'FFFG']"
1,81,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'HHHF', 'HHHG']"
1,66,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHHG']"
1,5,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHH', 'FFFG']"
