Temperature,Simulations,Return,Discounted Return,Map
1,83,0,1.0,0.9821344612135428,"['SHFH', 'FFHF', 'FFFH', 'FFFG']"
1,63,0,1.0,0.8553586117313603,"['SFHH', 'FFHH', 'HFFF', 'FFHG']"
1,9,0,0.0,0.0,"['SHHH', 'FFFH', 'FFHH', 'HFFG']"
1,18,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FHHG']"
1,89,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'HHFG']"
1,15,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FHFG']"
1,3,0,0.0,0.0,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
1,52,0,1.0,0.9588092525966956,"['SFFF', 'HHFH', 'HFFF', 'HHHG']"
1,46,0,1.0,0.9473552137914398,"['SHHF', 'FHFH', 'FHHH', 'FFFG']"
1,81,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HHHG']"
1,54,0,1.0,0.9502058312852957,"['SHHF', 'FHHF', 'FFFF', 'HHFG']"
1,71,0,1.0,0.8974819010978248,"['SFHH', 'FFFF', 'FHHF', 'HFHG']"
1,66,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFFF', 'HHHG']"
1,92,0,1.0,0.9559328248389055,"['SHFH', 'FHFH', 'FFHH', 'FFFG']"
1,78,0,1.0,0.9674905716180701,"['SFHF', 'FHFF', 'FFHF', 'FFFG']"
1,66,0,1.0,0.9530650263643888,"['SHHF', 'FFFH', 'HFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HFFG']"
