Temperature,Simulations,Return,Discounted Return,Map
1,60,0,1.0,0.9762504936564125,"['SFFH', 'HFHF', 'FFFF', 'FFFG']"
1,82,0,1.0,0.9332298921513504,"['SFHF', 'HFFF', 'HFHF', 'HFFG']"
1,72,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HHHF', 'FHHG']"
1,93,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FHFF', 'HHFG']"
1,12,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFF', 'FFHG']"
1,92,0,1.0,0.9704017769489168,"['SHHH', 'FFFF', 'FFFH', 'HHFG']"
1,7,0,1.0,0.9304302024748964,"['SFFH', 'FFFF', 'HHFF', 'FFFG']"
1,94,0,1.0,0.9674905716180701,"['SFFH', 'HFHF', 'FFFH', 'FFFG']"
1,76,0,1.0,0.9588092525966956,"['SFFF', 'HFHF', 'FHHF', 'FHFG']"
1,89,0,1.0,0.9001824484431542,"['SFHH', 'HFFF', 'HFHF', 'HHHG']"
1,44,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FFFG']"
1,66,0,1.0,0.7584982177744161,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,96,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'FFFH', 'FFFG']"
1,61,0,1.0,0.9588092525966956,"['SFHF', 'HFHH', 'FFFF', 'HHFG']"
1,49,0,1.0,0.9559328248389055,"['SFFF', 'HFFF', 'FHHF', 'HHHG']"
1,58,0,1.0,0.9193151828650342,"['SFHF', 'HFFF', 'FHHF', 'HFHG']"
1,89,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'FFHG']"
1,12,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'HFHG']"
1,16,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,60,0,1.0,0.9674905716180701,"['SHFF', 'FHFF', 'FFFH', 'FFFG']"
1,30,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFF', 'FFHG']"
1,41,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'HHFG']"
