Temperature,Simulations,Return,Discounted Return,Map
1,99,0,1.0,0.9704017769489168,"['SFHF', 'HFFF', 'FHFF', 'FFHG']"
1,39,0,1.0,0.9445131481500655,"['SFFH', 'FHFF', 'FFHF', 'HFHG']"
1,18,0,1.0,0.884100203995605,"['SFFF', 'FHHF', 'FFHF', 'HHHG']"
1,46,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FHHF', 'FFFG']"
1,54,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'FFHG']"
1,50,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HFFF', 'HFHG']"
1,71,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'HFHF', 'FHFG']"
1,5,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFF', 'HHHG']"
1,64,0,1.0,0.985089730404757,"['SFHF', 'FFHF', 'FFFF', 'FHFG']"
1,34,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFFF', 'HFHG']"
1,82,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'FHFF', 'HFHG']"
1,5,0,0.0,0.0,"['SHFH', 'FFFF', 'FFFF', 'FHHG']"
1,29,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HFFF', 'HHHG']"
1,19,0,0.0,0.0,"['SFFF', 'FFFH', 'HHFH', 'HHFG']"
1,19,0,1.0,0.8201257512162927,"['SFHF', 'FHFH', 'FFFF', 'FHFG']"
1,58,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'HFFF', 'FFHG']"
1,54,0,1.0,0.9110661429076764,"['SFHF', 'FHHF', 'FFFH', 'HFFG']"
1,6,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HFHG']"
1,65,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HHFF', 'HHFG']"
1,92,0,1.0,0.9791880578299021,"['SFHF', 'HFHF', 'FFFF', 'FFFG']"
1,18,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'HFFG']"
1,12,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFF', 'FHHG']"
1,56,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'FHFG']"
1,20,0,0.0,0.0,"['SHFF', 'FFHH', 'FFHH', 'FFFG']"
1,57,0,1.0,0.9332298921513504,"['SHHH', 'FHHH', 'FHFH', 'FFFG']"
1,51,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HFFH', 'HHFG']"
1,61,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HFFG']"
1,97,0,1.0,0.8451404054461714,"['SFHF', 'HFFH', 'HHFH', 'HHFG']"
1,84,0,1.0,0.9165572373164391,"['SHHH', 'FFFF', 'HHFF', 'HHHG']"
1,44,0,1.0,0.9559328248389055,"['SFFH', 'HFFH', 'FHFF', 'FHHG']"
1,62,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'HHFH', 'FFFG']"
1,83,0,1.0,0.9588092525966956,"['SFFF', 'HFHH', 'HFFF', 'HHFG']"
1,17,0,1.0,0.8947894553945313,"['SFFF', 'HFFH', 'HFFF', 'HFFG']"
1,36,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'HFFF', 'FFFG']"
1,28,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FFFH', 'FFFG']"
1,61,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HHFF', 'FHFG']"
