Temperature,Simulations,Return,Discounted Return,Map
1,94,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'FHHG']"
1,68,0,1.0,0.9530650263643888,"['SFFF', 'FFHF', 'FHHF', 'HFFG']"
1,87,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'HHFG']"
1,44,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FHFF', 'HHHG']"
1,92,0,1.0,0.9645880999032158,"['SHFH', 'FFHF', 'FHHF', 'FFFG']"
1,44,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FHHG']"
1,81,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HHFH', 'FFFG']"
1,60,0,1.0,0.7630697687590515,"['SHFH', 'FHFF', 'FFHH', 'HFFG']"
1,98,0,1.0,0.8947894553945313,"['SFFF', 'FHHH', 'FFFH', 'FHFG']"
1,96,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'FHHF', 'FFHG']"
1,21,0,1.0,0.8947894553945313,"['SFHF', 'HFFH', 'HFHF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHF', 'FHHG']"
1,96,0,1.0,0.985089730404757,"['SHFF', 'FHHH', 'FHHF', 'FFFG']"
1,97,0,1.0,0.9445131481500655,"['SFHF', 'HFFF', 'FHFH', 'HHFG']"
1,16,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFH', 'HHFG']"
1,67,0,1.0,0.9473552137914398,"['SFHH', 'FFFF', 'HHFF', 'HHHG']"
1,78,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHHF', 'HFFG']"
1,78,0,1.0,0.9762504936564125,"['SFHF', 'FFHH', 'HFFH', 'HFFG']"
1,38,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHFH', 'HFFG']"
1,28,0,1.0,0.857932408958235,"['SFFH', 'HFFF', 'HFHF', 'FHHG']"
1,8,0,1.0,0.7539540549517295,"['SFFF', 'FFHF', 'HHHF', 'HHHG']"
1,72,0,1.0,0.9588092525966956,"['SFHF', 'FFFF', 'FHFF', 'HHFG']"
1,53,0,1.0,0.8735386475474635,"['SFFH', 'HFHF', 'FFFF', 'FFHG']"
1,38,0,1.0,0.8761671489944468,"['SHHF', 'FHHF', 'FHFF', 'FFFG']"
1,62,0,1.0,0.9445131481500655,"['SFHH', 'FFHF', 'FFHH', 'HFFG']"
