Temperature,Simulations,Return,Discounted Return,Map
1,31,0,1.0,0.884100203995605,"['SHHF', 'FFFH', 'FFFF', 'HHFG']"
1,89,0,1.0,0.9388545698794984,"['SFHF', 'HFFF', 'HFHF', 'FFFG']"
1,29,0,1.0,0.9083329444789534,"['SFFF', 'FFHF', 'FFFF', 'FFHG']"
1,46,0,1.0,0.7910835400474212,"['SHHH', 'FFHH', 'FFFH', 'HHFG']"
1,87,0,1.0,0.9588092525966956,"['SHFF', 'FFHF', 'HFFH', 'HFFG']"
1,72,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HFFF', 'FFHG']"
1,64,0,1.0,0.9445131481500655,"['SFFH', 'FFHF', 'FFFF', 'FHHG']"
1,26,0,1.0,0.9332298921513504,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,27,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HHFG']"
1,28,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFFF', 'HHHG']"
1,53,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,11,0,0.0,0.0,"['SFFF', 'FHFF', 'FHHH', 'FFFG']"
1,16,0,0.0,0.0,"['SFFH', 'FFFH', 'HHFH', 'FHFG']"
1,77,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'HHFF', 'FHFG']"
1,50,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FFFF', 'HHHG']"
1,79,0,1.0,0.9791880578299021,"['SHFF', 'FHFH', 'FFFF', 'FFFG']"
1,80,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FHFF', 'FFHG']"
1,17,0,1.0,0.9733217421754432,"['SHFF', 'FFHH', 'FFFF', 'HHFG']"
1,87,0,1.0,0.9220814271464737,"['SFHF', 'HFFF', 'HFHF', 'HHHG']"
1,97,0,1.0,0.78398512608332,"['SFFF', 'FFHH', 'FFFH', 'FHFG']"
1,45,0,1.0,0.9193151828650342,"['SFFH', 'HFHH', 'HFFF', 'FHFG']"
