Temperature,Simulations,Return,Discounted Return,Map
1,67,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFF', 'HFFG']"
1,27,0,1.0,0.9445131481500655,"['SHFH', 'FFFF', 'FFFF', 'HHFG']"
1,93,0,1.0,0.9762504936564125,"['SHHF', 'FFHH', 'FHFF', 'FFFG']"
1,51,0,1.0,0.9110661429076764,"['SFFF', 'HHFH', 'HFFF', 'HFHG']"
1,73,0,1.0,0.9220814271464737,"['SFHH', 'FFHH', 'FFFF', 'HFHG']"
1,32,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FFHF', 'HFFG']"
1,74,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'HFHF', 'FHHG']"
1,40,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HHFG']"
1,35,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'HFFF', 'FFHG']"
1,97,0,1.0,0.9704017769489168,"['SHHF', 'FFFH', 'FFFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFH', 'HFFG']"
1,26,0,0.0,0.0,"['SFFH', 'HHFF', 'FHFH', 'HFFG']"
1,11,0,1.0,0.9276389118674717,"['SFHH', 'FFFF', 'FHFF', 'FFFG']"
1,43,0,1.0,0.93603800616986,"['SFFH', 'FHFH', 'HHFF', 'FFFG']"
1,50,0,1.0,0.7699788094052729,"['SHHF', 'FFFH', 'HFFF', 'HHHG']"
1,93,0,1.0,0.9821344612135428,"['SHHF', 'FHFH', 'FFHH', 'FFFG']"
1,40,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,68,0,1.0,0.9762504936564125,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,23,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFH', 'FHFG']"
1,23,0,1.0,0.93603800616986,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,68,0,1.0,0.9502058312852957,"['SFFH', 'HHFH', 'HFFH', 'FHFG']"
1,8,0,0.0,0.0,"['SFFF', 'HHFF', 'HFFH', 'HHFG']"
1,55,0,1.0,0.9445131481500655,"['SFHH', 'FFFF', 'HHFF', 'HFHG']"
1,84,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFH', 'FHFG']"
1,62,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HHHG']"
1,37,0,1.0,0.9416796087056153,"['SHHF', 'FFFF', 'FHFF', 'FHFG']"
1,33,0,1.0,0.9388545698794984,"['SHFH', 'FFFH', 'FFFF', 'FFHG']"
1,55,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HFHG']"
1,1,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'HFFG']"
1,75,0,1.0,0.9304302024748964,"['SHHH', 'FFHH', 'FFFF', 'FHHG']"
1,14,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'FFFG']"
1,7,0,1.0,0.8502341582884777,"['SFFH', 'HHFF', 'HFFF', 'FHHG']"
1,78,0,1.0,0.9704017769489168,"['SHHH', 'FFFF', 'FFFH', 'HFFG']"
1,35,0,1.0,0.9473552137914398,"['SFFF', 'HHFF', 'FHHF', 'FHFG']"
1,81,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'FFHF', 'FFFG']"
1,45,0,1.0,0.9791880578299021,"['SHHF', 'FFFH', 'FHHF', 'FFFG']"
1,28,0,1.0,0.7746195551602378,"['SFFF', 'HFFH', 'HHFH', 'HHFG']"
1,100,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'HHFF', 'FFHG']"
1,57,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'FHFH', 'HHFG']"
1,81,0,1.0,0.9276389118674717,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
1,42,0,1.0,0.8054737627981655,"['SFHH', 'HFFF', 'HHHF', 'HFFG']"
1,72,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'HFFF', 'FHHG']"
1,78,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'FHHG']"
1,86,0,1.0,0.9791880578299021,"['SFFF', 'FFHH', 'FFFH', 'FFFG']"
1,33,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'FFFF', 'FFHG']"
1,32,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'HFFG']"
1,72,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FFHH', 'FFFG']"
1,22,0,1.0,0.7792882711929549,"['SFFF', 'FFHH', 'HFFF', 'HHFG']"
1,62,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,39,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FHFG']"
1,69,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHF', 'HFFG']"
1,30,0,1.0,0.9388545698794984,"['SHFH', 'FFFF', 'FFFF', 'HFHG']"
1,39,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'HFFF', 'FFFG']"
1,31,0,1.0,0.9559328248389055,"['SFFF', 'HHFH', 'HFFF', 'FFFG']"
1,36,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HFHG']"
1,79,0,1.0,0.8451404054461714,"['SHHF', 'FFHH', 'HFHH', 'HFFG']"
1,45,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'FHFF', 'FHFG']"
1,46,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HHHF', 'FHHG']"
1,96,0,1.0,0.9821344612135428,"['SFHH', 'FFHF', 'FFFH', 'FFFG']"
1,24,0,1.0,0.9530650263643888,"['SFFH', 'HFFF', 'FFHF', 'HFFG']"
1,93,0,1.0,0.9304302024748964,"['SFHH', 'FFFH', 'HFFF', 'FHHG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFF', 'FFFG']"
1,41,0,0.0,0.0,"['SFHH', 'FFHF', 'FHHF', 'FFFG']"
1,89,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'FFFF', 'HFFG']"
1,12,0,0.0,0.0,"['SFFF', 'FFFH', 'FFFF', 'HHHG']"
1,30,0,1.0,0.9530650263643888,"['SFHH', 'HFFH', 'HFFF', 'HHHG']"
1,47,0,1.0,0.884100203995605,"['SFHH', 'FFFH', 'HHFF', 'FFFG']"
1,6,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HHFG']"
1,63,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FHHF', 'HFFG']"
1,55,0,1.0,0.9445131481500655,"['SFHF', 'HFFH', 'FFFF', 'HHFG']"
1,12,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HFFG']"
1,53,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'FFFG']"
1,14,0,1.0,0.9165572373164391,"['SFFF', 'HFHF', 'HHHF', 'HFFG']"
1,54,0,1.0,0.93603800616986,"['SFFH', 'FHFF', 'FFFH', 'FHFG']"
1,77,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'FFFH', 'HHFG']"
1,7,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HHHG']"
1,73,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'HHFF', 'FHHG']"
1,61,0,1.0,0.9704017769489168,"['SFHH', 'FFFH', 'HFFF', 'FFHG']"
1,87,0,1.0,0.9416796087056153,"['SFFH', 'HHFH', 'FHFH', 'FHFG']"
1,78,0,1.0,0.9762504936564125,"['SFHH', 'FFHF', 'HFFF', 'HHFG']"
1,87,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'FHFF', 'HFHG']"
1,6,0,1.0,0.9083329444789534,"['SFFF', 'HFFF', 'HFFH', 'FFFG']"
1,94,0,1.0,0.9791880578299021,"['SHHH', 'FHHF', 'FFFF', 'HFFG']"
1,11,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'HFFF', 'FHFG']"
1,68,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FFFH', 'FHFG']"
1,46,0,1.0,0.9276389118674717,"['SFHH', 'HFFH', 'FFFF', 'HFHG']"
1,70,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'HHFF', 'HHFG']"
1,15,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'FFHG']"
1,74,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HFFF', 'FHFG']"
1,70,0,1.0,0.9733217421754432,"['SFFF', 'FFFH', 'HFFH', 'HFFG']"
1,12,0,1.0,0.8553586117313603,"['SFFF', 'HHHF', 'FHFF', 'FFHG']"
1,17,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'FHFG']"
1,68,0,1.0,0.9791880578299021,"['SHFF', 'FHFF', 'FFHF', 'FFFG']"
1,48,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHH', 'HFFG']"
1,86,0,1.0,0.985089730404757,"['SFHH', 'FFHF', 'FFFH', 'HFFG']"
1,84,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HHFF', 'FHFG']"
1,50,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'HFFG']"
1,38,0,1.0,0.8894287717672626,"['SHFH', 'FFFH', 'HHFH', 'HHFG']"
1,85,0,1.0,0.8788035596734672,"['SFHH', 'HFHF', 'FFFF', 'HHHG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HFFF', 'HHFG']"
1,44,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HFHG']"
1,7,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFH', 'HHFG']"
1,75,0,1.0,0.9762504936564125,"['SHFF', 'FHHF', 'FFFF', 'HHFG']"
1,77,0,1.0,0.835044266956004,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,35,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FFFH', 'FFFG']"
