Temperature,Simulations,Initial State,Return,Discounted Return
1,24,10,1.0,0.997
1,25,13,1.0,0.997
1,75,14,1.0,1.0
1,96,13,1.0,0.997
1,3,10,0.0,0.0
1,15,2,1.0,0.8814479033836181
1,96,14,1.0,1.0
1,16,6,1.0,0.9001824484431542
1,48,6,1.0,0.994009
1,68,13,1.0,0.997
1,20,4,1.0,0.90289112180858
1,1,6,0.0,0.0
1,94,14,1.0,1.0
1,29,0,1.0,0.9220814271464737
1,89,2,1.0,0.991026973
1,85,4,1.0,0.988053892081
1,48,3,1.0,0.988053892081
1,19,8,0.0,0.0
1,72,9,1.0,0.994009
1,88,6,1.0,0.994009
1,32,14,1.0,1.0
1,22,3,1.0,0.776950406379376
1,39,13,1.0,0.997
1,83,2,1.0,0.991026973
1,74,10,1.0,0.997
1,56,14,1.0,1.0
1,3,3,0.0,0.0
1,62,3,1.0,0.9588092525966956
1,36,4,1.0,0.8300415167526705
1,15,9,1.0,0.994009
1,79,14,1.0,1.0
1,24,10,1.0,0.997
1,75,13,1.0,0.997
1,16,1,1.0,0.9559328248389055
1,41,6,1.0,0.994009
1,55,4,1.0,0.9821344612135428
1,14,0,0.0,0.0
1,84,6,1.0,0.994009
1,36,2,0.0,0.0
1,28,0,0.0,0.0
1,75,4,1.0,0.9821344612135428
1,67,1,1.0,0.9791880578299021
1,37,8,1.0,0.991026973
1,27,14,1.0,1.0
